onset	duration	type	repeat
191922.7756	0.5	1	0
191924.575	0.5	1	0
191926.3752	0.5	1	1
191928.1753	0.5	1	0
191929.9754	0.5	1	0
191931.7754	0.5	1	1
191933.5766	0.5	1	0
191935.3766	0.5	1	0
191937.1763	0.5	1	0
191938.9766	0.5	1	0
191952.7769	0.5	1	0
191954.5776	0.5	1	0
191956.3774	0.5	1	0
191958.1776	0.5	1	0
191959.9775	0.5	1	1
191961.7778	0.5	1	0
191963.5786	0.5	1	1
191965.3777	0.5	1	0
191967.1777	0.5	1	0
191968.9779	0.5	1	0
191982.7789	0.5	2	0
191984.5795	0.5	2	0
191986.379	0.5	2	1
191988.1789	0.5	2	0
191989.98	0.5	2	0
191991.7804	0.5	2	0
191993.5797	0.5	2	0
191995.3803	0.5	2	1
191997.1806	0.5	2	0
191998.9802	0.5	2	0
192012.7816	0.5	3	0
192014.5817	0.5	3	1
192016.3816	0.5	3	0
192018.181	0.5	3	0
192019.982	0.5	3	0
192021.7819	0.5	3	0
192023.582	0.5	3	0
192025.382	0.5	3	0
192027.1823	0.5	3	1
192028.9827	0.5	3	0
192042.7831	0.5	4	0
192044.5832	0.5	4	0
192046.3838	0.5	4	1
192048.1835	0.5	4	0
192049.9842	0.5	4	0
192051.7835	0.5	4	0
192053.5841	0.5	4	0
192055.3843	0.5	4	0
192057.1838	0.5	4	1
192058.9842	0.5	4	0
192072.7858	0.5	1	0
192074.5853	0.5	1	0
192076.3857	0.5	1	1
192078.1861	0.5	1	0
192079.9859	0.5	1	1
192081.7861	0.5	1	0
192083.586	0.5	1	0
192085.3866	0.5	1	0
192087.1863	0.5	1	0
192088.9868	0.5	1	0
192102.7871	0.5	2	0
192104.588	0.5	2	1
192106.3876	0.5	2	0
192108.1873	0.5	2	0
192109.9883	0.5	2	0
192111.7877	0.5	2	0
192113.5884	0.5	2	0
192115.3885	0.5	2	1
192117.1884	0.5	2	0
192118.9878	0.5	2	0
192132.7897	0.5	3	0
192134.5903	0.5	3	0
192136.3902	0.5	3	0
192138.1895	0.5	3	0
192139.99	0.5	3	1
192141.7901	0.5	3	0
192143.5901	0.5	3	0
192145.3906	0.5	3	0
192147.1901	0.5	3	0
192148.9905	0.5	3	1
192162.7916	0.5	4	0
192164.5915	0.5	4	1
192166.3919	0.5	4	0
192168.192	0.5	4	0
192169.9916	0.5	4	0
192171.792	0.5	4	0
192173.5915	0.5	4	0
192175.3919	0.5	4	0
192177.1921	0.5	4	1
192178.9921	0.5	4	0
192192.7932	0.5	3	0
192194.5939	0.5	3	0
192196.3938	0.5	3	0
192198.1938	0.5	3	0
192199.9938	0.5	3	1
192201.7946	0.5	3	0
192203.5945	0.5	3	0
192205.3945	0.5	3	1
192207.1946	0.5	3	0
192208.9945	0.5	3	0
192222.7956	0.5	4	0
192224.5957	0.5	4	1
192226.3955	0.5	4	0
192228.1956	0.5	4	0
192229.9961	0.5	4	0
192231.7962	0.5	4	1
192233.5965	0.5	4	0
192235.3963	0.5	4	0
192237.1966	0.5	4	0
192238.9967	0.5	4	0
192252.798	0.5	2	0
192254.5976	0.5	2	1
192256.398	0.5	2	0
192258.1975	0.5	2	0
192259.998	0.5	2	0
192261.7985	0.5	2	0
192263.5977	0.5	2	0
192265.398	0.5	2	0
192267.1986	0.5	2	0
192268.9987	0.5	2	1
