onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	1	1	1	4	4	4	4	1	1	2.5	5.00E-01
5.29	2	1	1	2	1	2	2	2	1	1	2.42	5.00E-01
10.08	2	1	1	3	1	1	1	1	1	1	2.43	5.00E-01
14.86	2	1	1	4	3	3	3	3	1	1	2.37	1.50E+00
20.64	2	1	1	5	4	3	3	3	1	1	2.39	5.00E-01
25.43	2	1	1	6	2	1	1	2	0	1	2.28	5.00E-01
30.21	2	1	1	7	1	1	1	1	1	1	2.58	3.50E+00
38	2	1	1	8	2	2	2	2	1	1	2.41	1.50E+00
43.78	2	1	1	9	4	4	4	4	1	1	2.44	4.50E+00
52.56	2	1	1	10	2	2	2	2	1	1	2.58	1.50E+00
58.35	2	1	1	11	1	1	1	1	1	1	2.37	5.00E-01
63.13	2	1	1	12	2	2	2	2	1	1	2.17	3.50E+00
70.91	2	1	1	13	4	3	3	3	1	1	2.4	3.50E+00
78.7	2	1	1	14	4	4	4	3	0	1	2.11	5.00E-01
83.48	2	1	1	15	3	3	3	3	1	1	2.46	5.00E-01
88.27	2	1	1	16	1	1	1	1	1	1	2.25	5.00E-01
93.05	2	1	1	17	4	4	4	3	0	1	2.11	3.50E+00
100.83	2	1	1	18	3	3	3	3	1	1	2.37	5.00E-01
105.62	2	1	1	19	4	4	4	4	1	1	2.29	1.50E+00
111.4	2	1	1	20	2	2	2	2	1	1	2.12	1.50E+00
117.18	2	1	1	21	3	4	4	4	1	1	2.54	8
129.45	2	1	1	22	3	3	3	3	1	1	2.5	5.00E-01
134.24	2	1	1	23	2	2	2	2	1	1	2.17	2.50E+00
141.02	2	1	1	24	3	3	3	3	1	1	2.41	5.00E-01
145.8	2	1	1	25	4	3	3	3	1	1	2.41	5.50E+00
155.59	2	1	1	26	3	4	4	4	1	1	2.42	5.00E-01
160.37	2	1	1	27	3	3	3	3	1	1	2.17	5.00E-01
165.15	2	1	1	28	3	3	3	3	1	1	2.37	2.50E+00
171.94	2	1	1	29	4	3	3	3	1	1	2.3	5.00E-01
176.72	2	1	1	30	2	2	2	2	1	1	2.15	2.50E+00
183.51	2	1	1	31	2	2	2	2	1	1	1.97	1.50E+00
189.29	2	1	1	32	1	2	2	1	0	1	2	5.00E-01
194.07	2	1	1	33	4	4	4	4	1	1	2.5	1.50E+00
199.86	2	1	1	34	3	4	4	4	1	1	2.26	1.50E+00
205.64	2	1	1	35	1	1	1	1	1	1	2.06	5.00E-01
210.42	2	1	1	36	2	1	1	2	0	1	2.11	1.50E+00
216.21	2	1	1	37	1	1	1	1	1	1	2.61	5.00E-01
220.99	2	1	1	38	1	1	1	1	1	1	2.24	5.00E-01
225.78	2	1	1	39	2	2	2	2	1	1	2.19	2.50E+00
232.56	2	1	1	40	1	1	1	1	1	1	2.28	5.00E-01
237.34	2	1	1	41	3	4	4	4	1	1	2.49	5.00E-01
242.13	2	1	1	42	1	1	1	1	1	1	2.09	2.50E+00
248.89	2	1	1	43	3	4	4	4	1	1	2.46	3.50E+00
256.68	2	1	1	44	3	4	4	4	1	1	2.33	2.50E+00
263.46	2	1	1	45	4	4	4	4	1	1	2.21	2.50E+00
270.25	2	1	1	46	3	4	4	4	1	1	2.09	2.50E+00
277.03	2	1	1	47	2	2	2	2	1	1	1.99	1.50E+00
282.81	2	1	1	48	4	4	4	4	1	1	2.08	4.50E+00
291.6	2	1	1	49	4	3	3	3	1	1	2.37	5.50E+00
301.38	2	1	1	50	1	2	2	1	0	1	1.99	5.00E-01
306.16	2	1	1	51	4	4	4	4	1	1	2.31	5.00E-01
310.95	2	1	1	52	1	1	1	1	1	1	2.29	1.50E+00
316.73	2	1	1	53	2	2	2	2	1	1	2.07	8
329	2	1	1	54	4	3	3	3	1	1	2.26	1.50E+00
334.78	2	1	1	55	2	2	2	2	1	1	2.04	5.00E-01
339.57	2	1	1	56	3	4	4	4	1	1	2.22	1.50E+00
345.35	2	1	1	57	3	4	4	4	1	1	2.14	5.00E-01
350.13	2	1	1	58	3	3	3	4	0	1	2.27	5.00E-01
354.92	2	1	1	59	1	1	1	1	1	1	2.13	5.00E-01
359.7	2	1	1	60	4	3	3	4	0	1	1.81	5.00E-01
364.48	2	1	1	61	2	2	2	2	1	1	1.5	5.00E-01
369.27	2	1	1	62	2	2	2	2	1	1	1.55	5.00E-01
374.05	2	1	1	63	2	1	1	2	0	1	1.53	5.50E+00
383.82	2	1	1	64	4	3	3	3	1	1	1.97	5.00E-01
388.6	2	1	1	65	4	4	4	3	0	1	2.1	3.50E+00
396.39	2	1	1	66	1	1	1	1	1	1	2.08	5.00E-01
401.17	2	1	1	67	4	3	3	3	1	1	2.11	4.50E+00
409.95	2	1	1	68	2	2	2	2	1	1	2.01	1.50E+00
415.74	2	1	1	69	2	2	2	2	1	1	1.1	5.00E-01
420.52	2	1	1	70	3	3	3	4	0	1	1.53	5.50E+00
430.29	2	1	1	71	3	4	4	4	1	1	2.28	5.00E-01
435.07	2	1	1	72	1	2	2	1	0	1	2.07	5.00E-01
439.86	2	1	1	73	1	1	1	1	1	1	2.19	1.50E+00
445.64	2	1	1	74	2	2	2	2	1	1	2.06	1.50E+00
451.42	2	1	1	75	4	3	3	3	1	1	2.12	1.50E+00
