onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	1	1	1	3	4	4	4	1	1	3.14	5.00E-01
5.29	2	1	1	2	3	4	4	4	1	1	2.28	5.00E-01
10.07	2	1	1	3	1	1	1	1	1	1	2.5	5.00E-01
14.86	2	1	1	4	1	1	1	1	1	1	1	5.00E-01
19.64	2	1	1	5	2	2	2	2	1	1	2.61	5.00E-01
24.42	2	1	1	6	2	1	1	2	0	1	1.23	5.00E-01
29.21	2	1	1	7	1	2	2	2	1	1	2.49	2.50E+00
35.99	2	1	1	8	1	2	2	2	1	1	2.28	5.00E-01
40.77	2	1	1	9	2	2	2	2	1	1	2.42	5.00E-01
45.56	2	1	1	10	4	4	4	4	1	1	2.6	1.50E+00
51.34	2	1	1	11	3	3	3	3	1	1	2.44	5.00E-01
56.13	2	1	1	12	4	3	3	3	1	1	2.49	1.50E+00
61.91	2	1	1	13	2	1	1	1	1	1	2.47	5.00E-01
66.69	2	1	1	14	1	2	2	2	1	1	2.18	1.50E+00
72.48	2	1	1	15	1	1	1	1	1	1	2.2	5.00E-01
77.26	2	1	1	16	2	2	2	2	1	1	2.3	2.50E+00
84.04	2	1	1	17	2	2	2	2	1	1	2.42	8
96.33	2	1	1	18	2	1	1	2	0	1	1.12	5.00E-01
101.11	2	1	1	19	1	1	1	1	1	1	2.32	5.00E-01
105.9	2	1	1	20	1	1	1	1	1	1	2.14	5.00E-01
110.68	2	1	1	21	2	2	2	2	1	1	2.2	5.00E-01
115.46	2	1	1	22	4	3	3	3	1	1	2.24	5.00E-01
120.25	2	1	1	23	2	1	1	1	1	1	2.34	4.50E+00
129.03	2	1	1	24	3	3	3	3	1	1	2.33	1.50E+00
134.81	2	1	1	25	1	2	2	2	1	1	2.3	1.50E+00
140.6	2	1	1	26	1	1	1	1	1	1	2.26	1.50E+00
146.38	2	1	1	27	4	3	3	3	1	1	2.19	3.50E+00
154.17	2	1	1	28	2	2	2	2	1	1	2.15	1.50E+00
159.95	2	1	1	29	1	1	1	1	1	1	1.05	1.50E+00
165.73	2	1	1	30	2	1	1	2	0	1	0.99	1.50E+00
171.52	2	1	1	31	2	2	2	2	1	1	2.27	3.50E+00
179.3	2	1	1	32	3	4	4	3	0	1	1.38	5.50E+00
189.09	2	1	1	33	4	3	3	3	1	1	2.24	5.00E-01
193.87	2	1	1	34	4	4	4	4	1	1	2.46	2.50E+00
200.65	2	1	1	35	2	2	2	2	1	1	2.15	5.50E+00
210.44	2	1	1	36	3	3	3	3	1	1	2.45	5.00E-01
215.22	2	1	1	37	4	4	4	4	1	1	2.51	4.50E+00
224	2	1	1	38	1	1	1	1	1	1	2.13	2.50E+00
230.79	2	1	1	39	4	4	4	3	0	1	1.2	5.00E-01
235.57	2	1	1	40	3	4	4	4	1	1	2.38	5.00E-01
240.35	2	1	1	41	2	1	1	1	1	1	2.37	5.00E-01
245.14	2	1	1	42	2	2	2	2	1	1	1.17	5.00E-01
249.92	2	1	1	43	2	2	2	1	0	1	1.16	5.00E-01
254.71	2	1	1	44	4	3	3	3	1	1	2.35	5.00E-01
259.49	2	1	1	45	3	3	3	3	1	1	2.21	5.00E-01
264.27	2	1	1	46	4	4	4	4	1	1	1.11	5.00E-01
269.06	2	1	1	47	1	1	1	1	1	1	2.38	3.50E+00
276.84	2	1	1	48	2	2	2	2	1	1	2.34	2.50E+00
283.62	2	1	1	49	4	4	4	4	1	1	2.34	5.00E-01
288.41	2	1	1	50	3	4	4	3	0	1	1.06	2.50E+00
295.19	2	1	1	51	4	3	3	3	1	1	2.32	5.00E-01
299.98	2	1	1	52	3	3	3	3	1	1	1.8	5.00E-01
304.76	2	1	1	53	3	3	3	4	0	1	1.05	3.50E+00
312.54	2	1	1	54	1	1	1	1	1	1	2.4	3.50E+00
320.33	2	1	1	55	1	1	1	1	1	1	2.25	1.50E+00
326.11	2	1	1	56	3	4	4	4	1	1	2.65	4.50E+00
334.89	2	1	1	57	4	3	3	3	1	1	2.18	5.00E-01
339.68	2	1	1	58	3	3	3	3	1	1	2.38	1.50E+00
345.46	2	1	1	59	2	1	1	1	1	1	2.41	5.50E+00
355.25	2	1	1	60	4	3	3	3	1	1	2.23	5.00E-01
360.03	2	1	1	61	3	4	4	4	1	1	2.2	3.50E+00
367.81	2	1	1	62	1	1	1	1	1	1	2.26	5.00E-01
372.6	2	1	1	63	1	2	2	2	1	1	2.18	5.50E+00
382.38	2	1	1	64	1	1	1	1	1	1	1.28	5.00E-01
387.17	2	1	1	65	3	3	3	4	0	1	1.25	5.00E-01
391.95	2	1	1	66	3	3	3	3	1	1	2.68	5.50E+00
401.73	2	1	1	67	3	4	4	4	1	1	2.28	1.50E+00
407.52	2	1	1	68	3	3	3	3	1	1	1.25	3.50E+00
415.3	2	1	1	69	1	2	2	2	1	1	1.11	8
427.58	2	1	1	70	1	2	2	1	0	1	1.16	1.50E+00
433.37	2	1	1	71	3	3	3	3	1	1	1.47	5.00E-01
438.15	2	1	1	72	4	3	3	3	1	1	2.2	3.50E+00
445.94	2	1	1	73	3	4	4	4	1	1	1.05	5.00E-01
450.72	2	1	1	74	1	2	2	1	0	1	1.72	1.50E+00
456.5	2	1	1	75	4	4	4	4	1	1	2.43	5.00E-01
461.29	2	1	1	76	1	1	1	2	0	1	1.79	1.50E+00
467.07	2	1	1	77	2	1	1	1	1	1	2.41	5.00E-01
471.85	2	1	1	78	4	3	3	3	1	1	1.57	5.00E-01
476.64	2	1	1	79	2	1	1	2	0	1	1.25	1.50E+00
482.42	2	1	1	80	4	3	3	4	0	1	1.41	5.00E-01
487.2	2	1	1	81	1	2	2	2	1	1	2.42	5.50E+00
496.99	2	1	1	82	2	1	1	1	1	1	2.32	5.00E-01
501.77	2	1	1	83	3	3	3	3	1	1	2.29	2.50E+00
508.56	2	1	1	84	4	4	4	4	1	1	2.49	5.00E-01
513.34	2	1	1	85	3	4	4	4	1	1	1.53	1.50E+00
519.12	2	1	1	86	3	4	4	3	0	1	1.08	5.00E-01
523.91	2	1	1	87	3	4	4	4	1	1	2.22	2.50E+00
530.69	2	1	1	88	3	3	3	3	1	1	2.19	1.50E+00
536.47	2	1	1	89	4	3	3	3	1	1	2.38	1.50E+00
542.26	2	1	1	90	2	2	2	2	1	1	1.58	1.50E+00
548.04	2	1	1	91	4	4	4	4	1	1	1.3	1.50E+00
553.83	2	1	1	92	4	4	4	3	0	1	1	4.50E+00
562.61	2	1	1	93	4	3	3	3	1	1	2.44	1.50E+00
568.39	2	1	1	94	1	1	1	1	1	1	2.36	5.50E+00
578.18	2	1	1	95	4	4	4	4	1	1	2.21	4.50E+00
586.96	2	1	1	96	1	2	2	1	0	1	1.42	5.00E-01
591.75	2	1	1	97	2	2	2	2	1	1	2.16	2.50E+00
598.53	2	1	1	98	2	2	2	2	1	1	1.44	5.00E-01
603.31	2	1	1	99	2	2	2	1	0	1	1.05	2.50E+00
610.1	2	1	1	100	4	4	4	4	1	1	2.37	3.50E+00
