onset	duration	type	repeat
338652.0082	0.5	4	0
338653.8083	0.5	4	0
338655.6082	0.5	4	0
338657.4087	0.5	4	0
338659.2087	0.5	4	0
338661.0086	0.5	4	1
338662.8085	0.5	4	0
338664.6088	0.5	4	0
338666.4093	0.5	4	1
338668.2093	0.5	4	0
338682.0097	0.5	4	0
338683.8104	0.5	4	0
338685.6104	0.5	4	0
338687.4105	0.5	4	1
338689.2098	0.5	4	0
338691.0101	0.5	4	0
338692.8106	0.5	4	0
338694.6107	0.5	4	1
338696.4111	0.5	4	0
338698.2106	0.5	4	0
338712.0124	0.5	2	0
338713.8115	0.5	2	0
338715.6123	0.5	2	1
338717.4126	0.5	2	0
338719.2125	0.5	2	0
338721.0127	0.5	2	0
338722.8126	0.5	2	0
338724.6126	0.5	2	0
338726.4127	0.5	2	1
338728.2126	0.5	2	0
338742.0137	0.5	3	0
338743.8139	0.5	3	0
338745.6145	0.5	3	0
338747.4141	0.5	3	1
338749.2139	0.5	3	0
338751.0143	0.5	3	0
338752.8149	0.5	3	0
338754.6146	0.5	3	0
338756.415	0.5	3	1
338758.2151	0.5	3	0
338772.0164	0.5	2	0
338773.8156	0.5	2	0
338775.6156	0.5	2	0
338777.4165	0.5	2	1
338779.2167	0.5	2	0
338781.0168	0.5	2	0
338782.8163	0.5	2	1
338784.6163	0.5	2	0
338786.417	0.5	2	0
338788.2167	0.5	2	0
338802.0179	0.5	2	0
338803.8175	0.5	2	0
338805.6185	0.5	2	0
338807.4186	0.5	2	0
338809.2189	0.5	2	0
338811.0184	0.5	2	1
338812.8191	0.5	2	0
338814.6188	0.5	2	0
338816.4195	0.5	2	1
338818.2195	0.5	2	0
338832.0206	0.5	3	0
338833.8206	0.5	3	0
338835.6206	0.5	3	0
338837.4208	0.5	3	0
338839.2199	0.5	3	1
338841.021	0.5	3	0
338842.8207	0.5	3	0
338844.6208	0.5	3	0
338846.4215	0.5	3	0
338848.2213	0.5	3	1
338862.0217	0.5	1	0
338863.8227	0.5	1	0
338865.6222	0.5	1	0
338867.4221	0.5	1	0
338869.2221	0.5	1	1
338871.0224	0.5	1	0
338872.8227	0.5	1	0
338874.6227	0.5	1	0
338876.4238	0.5	1	1
338878.2238	0.5	1	0
338892.0248	0.5	3	0
338893.8246	0.5	3	0
338895.6244	0.5	3	0
338897.4246	0.5	3	0
338899.2247	0.5	3	0
338901.0248	0.5	3	0
338902.8252	0.5	3	0
338904.6254	0.5	3	1
338906.425	0.5	3	0
338908.2253	0.5	3	1
338922.0259	0.5	4	0
338923.8266	0.5	4	0
338925.6264	0.5	4	0
338927.4268	0.5	4	0
338929.2267	0.5	4	0
338931.0267	0.5	4	1
338932.8273	0.5	4	0
338934.6273	0.5	4	0
338936.4266	0.5	4	0
338938.2268	0.5	4	1
338952.0277	0.5	1	0
338953.8285	0.5	1	0
338955.6278	0.5	1	0
338957.4286	0.5	1	0
338959.2284	0.5	1	0
338961.0282	0.5	1	0
338962.8288	0.5	1	1
338964.6291	0.5	1	0
338966.4287	0.5	1	1
338968.2296	0.5	1	0
338982.0303	0.5	1	0
338983.8304	0.5	1	0
338985.6304	0.5	1	0
338987.4308	0.5	1	1
338989.2308	0.5	1	0
338991.0307	0.5	1	0
338992.831	0.5	1	0
338994.6308	0.5	1	0
338996.4315	0.5	1	1
338998.2313	0.5	1	0
