onset	duration	type	repeat
657651.6171	0.5	3	0
657653.417	0.5	3	0
657655.2167	0.5	3	0
657657.0168	0.5	3	1
657658.8175	0.5	3	0
657660.6176	0.5	3	1
657662.4176	0.5	3	0
657664.2176	0.5	3	0
657666.0183	0.5	3	0
657667.8177	0.5	3	0
657681.6193	0.5	1	0
657683.4188	0.5	1	1
657685.2195	0.5	1	0
657687.0188	0.5	1	0
657688.8199	0.5	1	0
657690.6192	0.5	1	0
657692.4196	0.5	1	1
657694.2203	0.5	1	0
657696.0195	0.5	1	0
657697.8203	0.5	1	0
657711.6215	0.5	4	0
657713.4215	0.5	4	0
657715.2215	0.5	4	0
657717.0214	0.5	4	1
657718.8218	0.5	4	0
657720.6219	0.5	4	0
657722.4221	0.5	4	0
657724.222	0.5	4	0
657726.0226	0.5	4	1
657727.8225	0.5	4	0
657741.623	0.5	1	0
657743.4228	0.5	1	0
657745.2232	0.5	1	1
657747.0229	0.5	1	0
657748.8232	0.5	1	0
657750.6238	0.5	1	0
657752.4239	0.5	1	0
657754.2238	0.5	1	0
657756.0239	0.5	1	1
657757.824	0.5	1	0
657771.6255	0.5	2	0
657773.4256	0.5	2	1
657775.2252	0.5	2	0
657777.0259	0.5	2	0
657778.8258	0.5	2	0
657780.6257	0.5	2	0
657782.4262	0.5	2	0
657784.226	0.5	2	0
657786.0256	0.5	2	1
657787.826	0.5	2	0
657801.6277	0.5	1	0
657803.427	0.5	1	0
657805.227	0.5	1	0
657807.0277	0.5	1	0
657808.8274	0.5	1	1
657810.6277	0.5	1	0
657812.4274	0.5	1	0
657814.2279	0.5	1	0
657816.0282	0.5	1	0
657817.8281	0.5	1	1
657831.6289	0.5	2	0
657833.429	0.5	2	0
657835.2296	0.5	2	0
657837.029	0.5	2	0
657838.8297	0.5	2	1
657840.6293	0.5	2	0
657842.43	0.5	2	0
657844.2297	0.5	2	0
657846.0308	0.5	2	0
657847.8299	0.5	2	1
657861.6308	0.5	2	0
657863.4316	0.5	2	0
657865.2311	0.5	2	0
657867.031	0.5	2	1
657868.832	0.5	2	0
657870.6315	0.5	2	0
657872.4318	0.5	2	0
657874.2319	0.5	2	0
657876.0327	0.5	2	0
657877.8323	0.5	2	1
657891.6329	0.5	4	0
657893.4329	0.5	4	0
657895.2338	0.5	4	1
657897.0338	0.5	4	0
657898.8337	0.5	4	0
657900.6336	0.5	4	0
657902.4342	0.5	4	0
657904.2339	0.5	4	0
657906.0338	0.5	4	0
657907.8341	0.5	4	1
657921.6352	0.5	3	0
657923.4356	0.5	3	1
657925.2349	0.5	3	0
657927.0353	0.5	3	1
657928.836	0.5	3	0
657930.6362	0.5	3	0
657932.436	0.5	3	0
657934.2365	0.5	3	0
657936.0365	0.5	3	0
657937.8365	0.5	3	0
657951.6371	0.5	4	0
657953.437	0.5	4	1
657955.2372	0.5	4	0
657957.0381	0.5	4	0
657958.8378	0.5	4	0
657960.6376	0.5	4	0
657962.4381	0.5	4	0
657964.2381	0.5	4	1
657966.0381	0.5	4	0
657967.8385	0.5	4	0
657981.6396	0.5	3	0
657983.4389	0.5	3	1
657985.239	0.5	3	0
657987.0391	0.5	3	1
657988.8399	0.5	3	0
657990.6402	0.5	3	0
657992.4397	0.5	3	0
657994.2401	0.5	3	0
657996.0401	0.5	3	0
657997.8398	0.5	3	0
