onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	2	1	1	3	3	3	3	1	1	2.89	1.50E+00
6.3	2	2	1	2	1	1	1	1	1	1	2.33	3.50E+00
14.08	2	2	1	3	3	3	3	3	1	1	0.89	4.50E+00
22.86	2	2	1	4	1	1	1	1	1	1	0.49	1.50E+00
28.65	2	2	1	5	2	2	2	2	1	1	2.28	5.00E-01
33.43	2	2	1	6	2	2	2	2	1	1	0.64	5.00E-01
38.21	2	2	1	7	4	3	3	3	1	1	2.47	1.50E+00
44	2	2	1	8	1	1	1	1	1	1	0.72	5.00E-01
48.78	2	2	1	9	1	2	2	1	0	1	0.5	5.00E-01
53.56	2	2	1	10	3	4	4	3	0	1	1.05	5.00E-01
58.35	2	2	1	11	3	4	4	4	1	1	2.26	3.50E+00
66.13	2	2	1	12	2	2	2	2	1	1	0.93	4.50E+00
74.92	2	2	1	13	1	1	1	1	1	1	0.69	3.50E+00
82.7	2	2	1	14	4	3	3	3	1	1	2.37	5.00E-01
87.48	2	2	1	15	4	4	4	3	0	1	2.18	1.50E+00
93.27	2	2	1	16	1	1	1	1	1	1	0.64	1.50E+00
99.05	2	2	1	17	2	2	2	2	1	1	0.87	5.00E-01
103.84	2	2	1	18	3	4	4	4	1	1	2.28	5.00E-01
108.62	2	2	1	19	4	3	3	3	1	1	2.33	5.50E+00
118.39	2	2	1	20	4	3	3	3	1	1	0.45	3.50E+00
126.17	2	2	1	21	2	2	2	2	1	1	0.64	5.00E-01
130.95	2	2	1	22	4	4	4	3	0	1	0.61	5.00E-01
135.74	2	2	1	23	1	2	2	1	0	1	0.88	8
148	2	2	1	24	2	2	2	2	1	1	0.68	5.00E-01
152.79	2	2	1	25	1	1	1	2	0	1	0.52	5.00E-01
157.57	2	2	1	26	3	3	3	3	1	1	2.45	3.50E+00
165.36	2	2	1	27	3	4	4	4	1	1	2.38	5.50E+00
175.12	2	2	1	28	4	4	4	3	0	1	0.66	1.50E+00
180.91	2	2	1	29	1	1	1	1	1	1	2.58	2.50E+00
187.69	2	2	1	30	1	1	1	1	1	1	0.71	5.00E-01
192.47	2	2	1	31	2	1	1	2	0	1	0.72	1.50E+00
198.26	2	2	1	32	2	2	2	2	1	1	0.59	1.50E+00
204.04	2	2	1	33	3	3	3	3	1	1	2.37	5.00E-01
208.83	2	2	1	34	3	3	3	3	1	1	2.44	4.50E+00
217.61	2	2	1	35	1	1	1	1	1	1	0.61	5.50E+00
227.39	2	2	1	36	3	4	4	4	1	1	2.52	1.50E+00
233.18	2	2	1	37	1	2	2	1	0	1	0.65	1.50E+00
238.96	2	2	1	38	2	2	2	2	1	1	0.71	1.50E+00
244.74	2	2	1	39	3	4	4	4	1	1	2.74	5.50E+00
254.53	2	2	1	40	1	1	1	1	1	1	0.59	8
266.8	2	2	1	41	1	1	1	1	1	1	0.56	5.00E-01
271.58	2	2	1	42	3	4	4	4	1	1	1.23	1.50E+00
277.36	2	2	1	43	4	4	4	3	0	1	0.68	5.00E-01
282.15	2	2	1	44	4	4	4	4	1	1	2.4	5.00E-01
286.93	2	2	1	45	2	2	2	2	1	1	0.68	1.50E+00
292.71	2	2	1	46	1	1	1	1	1	1	0.78	5.00E-01
297.5	2	2	1	47	4	4	4	3	0	1	0.72	5.00E-01
302.28	2	2	1	48	1	1	1	1	1	1	0.59	5.00E-01
307.07	2	2	1	49	3	3	3	4	0	1	1.09	5.50E+00
316.85	2	2	1	50	3	4	4	4	1	1	2.49	1.50E+00
322.63	2	2	1	51	3	3	3	4	0	1	1	2.50E+00
329.42	2	2	1	52	2	2	2	2	1	1	0.62	2.50E+00
336.2	2	2	1	53	4	4	4	3	0	1	2.48	5.00E-01
340.98	2	2	1	54	4	3	3	3	1	1	2.39	5.00E-01
345.77	2	2	1	55	4	3	3	3	1	1	2.3	5.00E-01
350.55	2	2	1	56	2	2	2	2	1	1	0.64	4.50E+00
359.34	2	2	1	57	3	4	4	4	1	1	2.45	4.50E+00
368.12	2	2	1	58	2	1	1	2	0	1	1.31	2.50E+00
374.9	2	2	1	59	1	1	1	2	0	1	2.59	1.50E+00
380.69	2	2	1	60	3	3	3	4	0	1	1.01	3.50E+00
388.47	2	2	1	61	4	3	3	3	1	1	2.22	2.50E+00
395.25	2	2	1	62	3	3	3	4	0	1	1.92	1.50E+00
401.04	2	2	1	63	4	4	4	3	0	1	2.32	3.50E+00
408.82	2	2	1	64	3	3	3	3	1	1	2.4	5.00E-01
413.61	2	2	1	65	4	4	4	4	1	1	2.47	2.50E+00
420.39	2	2	1	66	2	1	1	1	1	1	3.36	2.50E+00
427.17	2	2	1	67	1	1	1	1	1	1	0.5	5.00E-01
431.96	2	2	1	68	1	2	2	1	0	1	0.59	1.50E+00
437.74	2	2	1	69	4	3	3	3	1	1	2.19	5.00E-01
442.52	2	2	1	70	1	1	1	1	1	1	0.99	5.00E-01
447.31	2	2	1	71	3	4	4	3	0	1	2.33	5.00E-01
452.09	2	2	1	72	2	2	2	2	1	1	0.6	5.50E+00
461.88	2	2	1	73	1	1	1	1	1	1	0.61	5.00E-01
466.66	2	2	1	74	4	4	4	4	1	1	2.3	5.00E-01
471.44	2	2	1	75	1	2	2	1	0	1	0.61	2.50E+00
478.23	2	2	1	76	4	4	4	4	1	1	2.33	2.50E+00
485.01	2	2	1	77	3	3	3	3	1	1	2.34	5.00E-01
489.79	2	2	1	78	3	3	3	3	1	1	2.15	5.00E-01
