onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	2	1	1	4	3	3	3	1	1	2.61	5.00E-01
5.3	2	2	1	2	3	3	3	3	1	1	2.49	5.00E-01
10.08	2	2	1	3	1	2	2	2	1	1	2.51	1.50E+00
15.87	2	2	1	4	1	1	1	1	1	1	2.34	5.00E-01
20.65	2	2	1	5	4	3	3	3	1	1	2.38	2.50E+00
27.43	2	2	1	6	3	3	3	3	1	1	2.26	5.00E-01
32.22	2	2	1	7	1	1	1	1	1	1	2.42	5.00E-01
37	2	2	1	8	3	3	3	3	1	1	2.22	1.50E+00
42.78	2	2	1	9	2	2	2	2	1	1	2.7	1.50E+00
48.57	2	2	1	10	4	3	3	3	1	1	2.28	4.50E+00
57.35	2	2	1	11	2	1	1	1	1	1	2.58	2.50E+00
64.14	2	2	1	12	3	3	3	3	1	1	2.46	5.00E-01
68.92	2	2	1	13	4	4	4	4	1	1	2.47	5.00E-01
73.7	2	2	1	14	2	1	1	1	1	1	2.33	5.50E+00
83.49	2	2	1	15	1	2	2	2	1	1	2.47	5.00E-01
88.27	2	2	1	16	1	2	2	2	1	1	2.36	5.50E+00
98.05	2	2	1	17	3	3	3	3	1	1	2.33	2.50E+00
104.84	2	2	1	18	3	4	4	4	1	1	2.47	5.00E-01
109.62	2	2	1	19	4	3	3	3	1	1	2.54	1.50E+00
115.41	2	2	1	20	2	1	1	1	1	1	2.67	3.50E+00
123.19	2	2	1	21	4	4	4	4	1	1	2.44	3.50E+00
130.97	2	2	1	22	3	4	4	4	1	1	2.56	5.00E-01
135.76	2	2	1	23	2	2	2	2	1	1	2.74	1.50E+00
141.54	2	2	1	24	4	4	4	4	1	1	2.52	1.50E+00
147.32	2	2	1	25	4	4	4	4	1	1	2.65	5.00E-01
152.11	2	2	1	26	3	4	4	4	1	1	2.72	2.50E+00
158.89	2	2	1	27	1	1	1	1	1	1	2.55	4.50E+00
167.67	2	2	1	28	4	4	4	4	1	1	2.33	5.00E-01
172.46	2	2	1	29	3	4	4	4	1	1	2.32	5.00E-01
177.24	2	2	1	30	1	2	2	2	1	1	2.39	2.50E+00
184.03	2	2	1	31	4	4	4	4	1	1	2.33	5.00E-01
188.81	2	2	1	32	2	2	2	2	1	1	2.82	5.00E-01
193.59	2	2	1	33	1	2	2	2	1	1	2.39	5.00E-01
198.38	2	2	1	34	2	2	2	2	1	1	2.66	5.00E-01
203.16	2	2	1	35	2	1	1	1	1	1	2.41	1.50E+00
208.94	2	2	1	36	3	3	3	3	1	1	2.55	5.00E-01
213.73	2	2	1	37	2	2	2	2	1	1	2.42	5.00E-01
218.51	2	2	1	38	4	3	3	3	1	1	2.41	3.50E+00
226.3	2	2	1	39	2	2	2	2	1	1	2.36	5.00E-01
231.08	2	2	1	40	2	2	2	2	1	1	2.23	5.00E-01
235.86	2	2	1	41	1	2	2	2	1	1	2.31	5.00E-01
240.65	2	2	1	42	2	1	1	1	1	1	2.42	5.00E-01
245.43	2	2	1	43	3	4	4	4	1	1	2.29	5.00E-01
250.21	2	2	1	44	1	1	1	1	1	1	2.25	1.50E+00
