onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	1	1	1	1	1	1	1	1	1	2.8	2.50E+00
7.3	2	1	1	2	3	3	3	3	1	1	2.58	5.00E-01
12.08	2	1	1	3	4	4	4	4	1	1	2.71	3.50E+00
19.86	2	1	1	4	1	1	1	1	1	1	2.51	1.50E+00
25.65	2	1	1	5	2	1	1	1	1	1	2.48	8
37.93	2	1	1	6	4	3	3	3	1	1	2.43	3.50E+00
45.72	2	1	1	7	4	3	3	3	1	1	2.2	5.00E-01
50.5	2	1	1	8	4	3	3	3	1	1	0.78	5.00E-01
55.28	2	1	1	9	1	2	2	2	1	1	2.3	2.50E+00
62.07	2	1	1	10	4	4	4	3	0	1	0.69	5.00E-01
66.85	2	1	1	11	2	2	2	2	1	1	2.47	1.50E+00
72.63	2	1	1	12	3	3	3	3	1	1	2.5	5.00E-01
77.42	2	1	1	13	1	2	2	4	0	1	1.88	8
89.7	2	1	1	14	4	3	3	3	1	1	2.21	5.00E-01
94.49	2	1	1	15	4	3	3	3	1	1	0.53	5.00E-01
99.27	2	1	1	16	1	1	1	1	1	1	2.46	5.00E-01
104.05	2	1	1	17	3	3	3	3	1	1	2.53	5.00E-01
108.84	2	1	1	18	3	4	4	3	0	1	2.13	5.50E+00
118.62	2	1	1	19	4	4	4	3	0	1	2.18	5.00E-01
123.4	2	1	1	20	1	1	1	1	1	1	2.47	5.00E-01
128.19	2	1	1	21	3	4	4	4	1	1	2.29	2.50E+00
134.97	2	1	1	22	2	2	2	2	1	1	2.34	1.50E+00
140.75	2	1	1	23	3	3	3	3	1	1	2.56	1.50E+00
146.54	2	1	1	24	3	4	4	4	1	1	2.43	2.50E+00
153.32	2	1	1	25	4	4	4	3	0	1	2.24	5.00E-01
158.11	2	1	1	26	2	2	2	2	1	1	2.24	5.00E-01
162.89	2	1	1	27	1	1	1	1	1	1	2.44	5.00E-01
167.67	2	1	1	28	2	2	2	2	1	1	2.48	3.50E+00
175.46	2	1	1	29	2	2	2	2	1	1	2.28	5.50E+00
185.24	2	1	1	30	1	1	1	1	1	1	2.3	5.00E-01
190.03	2	1	1	31	2	2	2	2	1	1	2.23	3.50E+00
197.81	2	1	1	32	3	4	4	4	1	1	2.49	5.00E-01
202.59	2	1	1	33	3	4	4	4	1	1	2.31	5.00E-01
207.38	2	1	1	34	4	3	3	3	1	1	1.13	1.50E+00
213.16	2	1	1	35	4	3	3	3	1	1	2.13	2.50E+00
219.94	2	1	1	36	3	3	3	4	0	1	1.52	5.00E-01
224.73	2	1	1	37	2	2	2	2	1	1	2.17	1.50E+00
230.51	2	1	1	38	4	3	3	3	1	1	2.5	1.50E+00
236.29	2	1	1	39	1	1	1	1	1	1	1.68	5.00E-01
241.08	2	1	1	40	1	1	1	1	1	1	1.03	5.00E-01
