onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.5	2	1	1	1	4	3	3	n/a	n/a	1	n/a	3.50E+00
8.29	2	1	1	2	1	1	1	n/a	n/a	1	n/a	5.00E-01
13.07	2	1	1	3	1	1	1	n/a	n/a	1	n/a	3.50E+00
20.86	2	1	1	4	2	2	2	2	1	1	2.51	4.50E+00
29.64	2	1	1	5	1	2	2	2	1	1	2.42	5.00E-01
34.42	2	1	1	6	2	2	2	2	1	1	2.54	8
46.71	2	1	1	7	2	2	2	2	1	1	1.53	5.00E-01
51.49	2	1	1	8	3	4	4	4	1	1	2.87	5.00E-01
56.27	2	1	1	9	1	1	1	1	1	1	2.67	2.50E+00
63.06	2	1	1	10	2	2	2	2	1	1	1.61	5.00E-01
67.84	2	1	1	11	2	2	2	2	1	1	1.55	5.00E-01
72.63	2	1	1	12	1	1	1	1	1	1	2.35	1.50E+00
78.41	2	1	1	13	4	3	3	3	1	1	2.33	5.00E-01
83.19	2	1	1	14	2	2	2	2	1	1	0.86	1.50E+00
88.98	2	1	1	15	1	1	1	3	0	1	0.65	1.50E+00
94.76	2	1	1	16	4	3	3	3	1	1	2.56	1.50E+00
100.54	2	1	1	17	4	4	4	3	0	1	0.9	2.50E+00
107.33	2	1	1	18	3	3	3	3	1	1	2.51	3.50E+00
115.11	2	1	1	19	4	4	4	4	1	1	2.74	1.50E+00
120.9	2	1	1	20	2	2	2	2	1	1	2.22	3.50E+00
128.68	2	1	1	21	3	3	3	3	1	1	2.53	5.00E-01
133.46	2	1	1	22	3	3	3	3	1	1	2.28	5.00E-01
138.25	2	1	1	23	1	1	1	1	1	1	2.24	5.50E+00
148.03	2	1	1	24	4	4	4	4	1	1	2.51	1.50E+00
153.82	2	1	1	25	2	2	2	2	1	1	2.14	1.50E+00
159.6	2	1	1	26	2	1	1	2	0	1	1.94	4.50E+00
168.38	2	1	1	27	2	1	1	1	1	1	2.71	4.50E+00
177.17	2	1	1	28	3	3	3	3	1	1	2.43	3.50E+00
184.95	2	1	1	29	4	4	4	4	1	1	2.49	1.50E+00
190.73	2	1	1	30	2	1	1	1	1	1	2.48	1.50E+00
196.52	2	1	1	31	4	3	3	3	1	1	2.45	2.50E+00
203.3	2	1	1	32	4	3	3	3	1	1	2.61	5.00E-01
208.09	2	1	1	33	2	2	2	2	1	1	2.55	5.50E+00
217.87	2	1	1	34	2	1	1	2	0	1	2.35	5.50E+00
227.65	2	1	1	35	1	2	2	2	1	1	2.32	5.00E-01
232.44	2	1	1	36	4	3	3	3	1	1	2.57	1.50E+00
238.22	2	1	1	37	2	2	2	2	1	1	2.32	2.50E+00
245	2	1	1	38	2	2	2	2	1	1	2.38	1.50E+00
