onset	duration	type	repeat
949265.6746	0.5	2	0
949267.4752	0.5	2	0
949269.2746	0.5	2	0
949271.0749	0.5	2	0
949272.8757	0.5	2	1
949274.6752	0.5	2	0
949276.4756	0.5	2	0
949278.2759	0.5	2	0
949280.0757	0.5	2	1
949281.8764	0.5	2	0
949295.6772	0.5	1	0
949297.477	0.5	1	0
949299.2769	0.5	1	0
949301.0776	0.5	1	0
949302.8775	0.5	1	1
949304.6776	0.5	1	0
949306.4774	0.5	1	1
949308.2775	0.5	1	0
949310.0776	0.5	1	0
949311.8782	0.5	1	0
949325.6784	0.5	2	0
949327.4794	0.5	2	0
949329.2786	0.5	2	1
949331.0796	0.5	2	0
949332.8797	0.5	2	0
949334.6799	0.5	2	0
949336.4795	0.5	2	0
949338.2803	0.5	2	0
949340.0796	0.5	2	1
949341.8794	0.5	2	0
949355.6805	0.5	2	0
949357.481	0.5	2	1
949359.2815	0.5	2	0
949361.0816	0.5	2	0
949362.8819	0.5	2	0
949364.682	0.5	2	0
949366.4816	0.5	2	0
949368.2818	0.5	2	0
949370.0818	0.5	2	1
949371.8815	0.5	2	0
949385.6826	0.5	3	0
949387.4836	0.5	3	0
949389.2836	0.5	3	0
949391.0836	0.5	3	0
949392.8835	0.5	3	0
949394.683	0.5	3	1
949396.4837	0.5	3	0
949398.2838	0.5	3	1
949400.0839	0.5	3	0
949401.8843	0.5	3	0
949415.6851	0.5	4	0
949417.4855	0.5	4	0
949419.285	0.5	4	0
949421.0856	0.5	4	0
949422.8856	0.5	4	1
949424.6851	0.5	4	0
949426.486	0.5	4	0
949428.286	0.5	4	1
949430.0863	0.5	4	0
949431.8855	0.5	4	0
949445.6871	0.5	1	0
949447.487	0.5	1	0
949449.2875	0.5	1	0
949451.0869	0.5	1	1
949452.8877	0.5	1	0
949454.688	0.5	1	0
949456.4875	0.5	1	0
949458.2883	0.5	1	0
949460.0876	0.5	1	1
949461.8879	0.5	1	0
949475.6894	0.5	3	0
949477.4891	0.5	3	0
949479.2894	0.5	3	1
949481.0895	0.5	3	0
949482.8899	0.5	3	0
949484.6898	0.5	3	1
949486.4901	0.5	3	0
949488.2901	0.5	3	0
949490.0902	0.5	3	0
949491.8902	0.5	3	0
949505.6911	0.5	4	0
949507.4906	0.5	4	1
949509.2918	0.5	4	0
949511.0917	0.5	4	0
949512.892	0.5	4	0
949514.6913	0.5	4	1
949516.4917	0.5	4	0
949518.2921	0.5	4	0
949520.0916	0.5	4	0
949521.8926	0.5	4	0
949535.6929	0.5	1	0
949537.493	0.5	1	0
949539.2936	0.5	1	0
949541.0935	0.5	1	0
949542.8939	0.5	1	1
949544.6934	0.5	1	0
949546.4944	0.5	1	0
949548.2941	0.5	1	0
949550.0937	0.5	1	1
949551.8939	0.5	1	0
949565.6945	0.5	4	0
949567.4948	0.5	4	0
949569.2949	0.5	4	1
949571.0949	0.5	4	0
949572.8962	0.5	4	1
949574.6963	0.5	4	0
949576.4961	0.5	4	0
949578.296	0.5	4	0
949580.0965	0.5	4	0
949581.8961	0.5	4	0
949595.6971	0.5	3	0
949597.4973	0.5	3	0
949599.2976	0.5	3	0
949601.0975	0.5	3	0
949602.8975	0.5	3	1
949604.6977	0.5	3	0
949606.4979	0.5	3	1
949608.2978	0.5	3	0
949610.0984	0.5	3	0
949611.8976	0.5	3	0
