onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	1	1	1	2	2	2	n/a	n/a	1	n/a	5.00E-01
5.3	2	1	1	2	1	2	2	n/a	n/a	1	n/a	5.00E-01
10.08	2	1	1	3	1	2	2	n/a	n/a	1	n/a	3.50E+00
17.86	2	1	1	4	2	2	2	n/a	n/a	1	n/a	5.00E-01
22.65	2	1	1	5	4	4	4	n/a	n/a	1	n/a	5.50E+00
32.43	2	1	1	6	1	1	1	n/a	n/a	1	n/a	5.00E-01
37.21	2	1	1	7	3	4	4	n/a	n/a	1	n/a	5.00E-01
42	2	1	1	8	4	4	4	n/a	n/a	1	n/a	5.00E-01
46.78	2	1	1	9	4	4	4	4	1	1	3.34	3.50E+00
54.57	2	1	1	10	4	4	4	4	1	1	0.78	5.00E-01
59.35	2	1	1	11	2	1	1	1	1	1	2.31	5.50E+00
69.13	2	1	1	12	4	3	3	4	0	1	1.17	1.50E+00
74.92	2	1	1	13	2	2	2	2	1	1	0.7	1.50E+00
80.7	2	1	1	14	1	1	1	1	1	1	1.2	5.00E-01
85.49	2	1	1	15	4	3	3	4	0	1	0.97	2.50E+00
92.27	2	1	1	16	3	4	4	4	1	1	0.86	5.00E-01
97.05	2	1	1	17	1	1	1	1	1	1	1.5	1.50E+00
102.84	2	1	1	18	2	2	2	2	1	1	0.81	4.50E+00
111.62	2	1	1	19	4	4	4	3	0	1	0.72	2.50E+00
118.4	2	1	1	20	2	2	2	2	1	1	2.31	5.50E+00
128.19	2	1	1	21	2	2	2	2	1	1	0.68	4.50E+00
136.97	2	1	1	22	3	4	4	4	1	1	0.74	5.00E-01
141.76	2	1	1	23	1	1	1	1	1	1	0.67	5.00E-01
146.54	2	1	1	24	2	1	1	2	0	1	0.85	5.00E-01
151.32	2	1	1	25	3	4	4	4	1	1	0.75	5.00E-01
156.11	2	1	1	26	1	2	2	1	0	1	0.83	3.50E+00
163.89	2	1	1	27	1	1	1	1	1	1	0.88	5.00E-01
168.67	2	1	1	28	1	1	1	2	0	1	0.71	1.50E+00
174.46	2	1	1	29	3	4	4	4	1	1	0.74	1.50E+00
180.24	2	1	1	30	3	3	3	4	0	1	0.67	5.00E-01
185.03	2	1	1	31	2	1	1	2	0	1	0.72	5.00E-01
189.81	2	1	1	32	1	1	1	1	1	1	0.96	5.50E+00
199.59	2	1	1	33	2	2	2	2	1	1	0.87	3.50E+00
207.38	2	1	1	34	2	2	2	2	1	1	0.73	2.50E+00
214.16	2	1	1	35	2	2	2	2	1	1	0.64	4.50E+00
222.94	2	1	1	36	1	1	1	1	1	1	0.97	3.50E+00
230.73	2	1	1	37	2	1	1	2	0	1	0.83	5.00E-01
235.51	2	1	1	38	1	1	1	1	1	1	0.9	5.00E-01
