onset	duration	type	repeat
149003.0525	0.5	2	0
149004.8526	0.5	2	0
149006.6527	0.5	2	0
149008.4528	0.5	2	0
149010.253	0.5	2	1
149012.0531	0.5	2	0
149013.8532	0.5	2	0
149015.6533	0.5	2	0
149017.4535	0.5	2	0
149019.2536	0.5	2	1
149033.0545	0.5	3	0
149034.8546	0.5	3	0
149036.6548	0.5	3	0
149038.4549	0.5	3	0
149040.255	0.5	3	1
149042.0551	0.5	3	0
149043.8552	0.5	3	0
149045.6554	0.5	3	0
149047.4555	0.5	3	1
149049.2556	0.5	3	0
149063.0565	0.5	3	0
149064.8567	0.5	3	0
149066.6568	0.5	3	1
149068.4569	0.5	3	0
149070.257	0.5	3	0
149072.0572	0.5	3	1
149073.8572	0.5	3	0
149075.6574	0.5	3	0
149077.4575	0.5	3	0
149079.2576	0.5	3	0
149093.0585	0.5	1	0
149094.8587	0.5	1	1
149096.6588	0.5	1	0
149098.4589	0.5	1	1
149100.259	0.5	1	0
149102.0592	0.5	1	0
149103.8593	0.5	1	0
149105.6594	0.5	1	0
149107.4595	0.5	1	0
149109.2597	0.5	1	0
149123.0606	0.5	2	0
149124.8607	0.5	2	1
149126.6608	0.5	2	0
149128.461	0.5	2	0
149130.2611	0.5	2	0
149132.0612	0.5	2	0
149133.8613	0.5	2	1
149135.6614	0.5	2	0
149137.4616	0.5	2	0
149139.2617	0.5	2	0
149153.0626	0.5	4	0
149154.8627	0.5	4	0
149156.6629	0.5	4	0
149158.463	0.5	4	0
149160.2631	0.5	4	0
149162.0632	0.5	4	0
149163.8633	0.5	4	0
149165.6635	0.5	4	1
149167.4636	0.5	4	0
149169.2637	0.5	4	1
149183.0646	0.5	2	0
149184.8648	0.5	2	0
149186.6649	0.5	2	0
149188.465	0.5	2	0
149190.2651	0.5	2	1
149192.0652	0.5	2	0
149193.8654	0.5	2	0
149195.6655	0.5	2	1
149197.4656	0.5	2	0
149199.2657	0.5	2	0
149213.0667	0.5	4	0
149214.8668	0.5	4	0
149216.6669	0.5	4	0
149218.467	0.5	4	0
149220.2672	0.5	4	1
149222.0673	0.5	4	0
149223.8674	0.5	4	0
149225.6675	0.5	4	1
149227.4676	0.5	4	0
149229.2678	0.5	4	0
149243.0687	0.5	1	0
149244.8688	0.5	1	1
149246.6689	0.5	1	0
149248.4691	0.5	1	0
149250.2692	0.5	1	0
149252.0693	0.5	1	0
149253.8694	0.5	1	1
149255.6695	0.5	1	0
149257.4697	0.5	1	0
149259.2698	0.5	1	0
149273.0707	0.5	4	0
149274.8708	0.5	4	1
149276.671	0.5	4	0
149278.4711	0.5	4	0
149280.2712	0.5	4	0
149282.0713	0.5	4	0
149283.8714	0.5	4	1
149285.6716	0.5	4	0
149287.4717	0.5	4	0
149289.2718	0.5	4	0
149303.0727	0.5	3	0
149304.8729	0.5	3	0
149306.673	0.5	3	0
149308.4731	0.5	3	0
149310.2732	0.5	3	1
149312.0734	0.5	3	0
149313.8735	0.5	3	1
149315.6736	0.5	3	0
149317.4737	0.5	3	0
149319.2738	0.5	3	0
149333.0748	0.5	1	0
149334.8749	0.5	1	1
149336.675	0.5	1	0
149338.4751	0.5	1	0
149340.2753	0.5	1	0
149342.0754	0.5	1	0
149343.8755	0.5	1	0
149345.6756	0.5	1	0
149347.4757	0.5	1	0
149349.2759	0.5	1	1
