onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	1	1	1	3	3	3	3	1	1	2.63	5.00E-01
5.29	2	1	1	2	4	4	4	4	1	1	2.71	5.00E-01
10.07	2	1	1	3	1	1	1	1	1	1	2.39	3.50E+00
17.86	2	1	1	4	2	1	1	1	1	1	2.57	5.00E-01
22.64	2	1	1	5	1	1	1	1	1	1	2.35	5.50E+00
32.43	2	1	1	6	1	2	2	2	1	1	2.32	2.50E+00
39.21	2	1	1	7	3	4	4	4	1	1	2.63	5.00E-01
43.99	2	1	1	8	3	4	4	4	1	1	2.39	5.50E+00
53.78	2	1	1	9	1	2	2	2	1	1	2.59	5.00E-01
58.56	2	1	1	10	2	1	1	1	1	1	2.19	3.50E+00
66.35	2	1	1	11	4	4	4	4	1	1	2.52	5.50E+00
76.13	2	1	1	12	3	3	3	3	1	1	2.24	5.00E-01
80.91	2	1	1	13	1	1	1	1	1	1	2.39	5.00E-01
85.7	2	1	1	14	3	3	3	3	1	1	2.19	1.50E+00
91.48	2	1	1	15	4	4	4	4	1	1	2.69	3.50E+00
99.26	2	1	1	16	3	3	3	3	1	1	2.34	5.00E-01
104.05	2	1	1	17	2	1	1	1	1	1	2.19	5.00E-01
108.83	2	1	1	18	1	2	2	2	1	1	2.17	1.50E+00
114.61	2	1	1	19	2	2	2	2	1	1	2.34	1.50E+00
120.4	2	1	1	20	2	2	2	2	1	1	2.23	3.50E+00
128.17	2	1	1	21	2	2	2	2	1	1	2.23	1.50E+00
133.95	2	1	1	22	1	2	2	2	1	1	2.39	1.50E+00
139.73	2	1	1	23	1	2	2	2	1	1	2.35	4.50E+00
148.52	2	1	1	24	2	2	2	2	1	1	2.35	5.00E-01
153.3	2	1	1	25	4	4	4	4	1	1	2.49	5.00E-01
158.08	2	1	1	26	4	4	4	4	1	1	2.19	2.50E+00
164.87	2	1	1	27	1	2	2	2	1	1	2.45	5.00E-01
