onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	2	1	1	4	4	4	4	1	1	2.78	5.00E-01
5.29	2	2	1	2	2	2	2	2	1	1	2.5	5.00E-01
10.08	2	2	1	3	3	4	4	4	1	1	2.51	5.00E-01
14.86	2	2	1	4	1	1	1	1	1	1	2.56	8
27.13	2	2	1	5	3	3	3	3	1	1	2.84	1.50E+00
32.91	2	2	1	6	2	1	1	1	1	1	3.08	1.50E+00
38.69	2	2	1	7	4	3	3	3	1	1	2.91	1.50E+00
44.48	2	2	1	8	3	3	3	3	1	1	2.5	5.00E-01
49.25	2	2	1	9	1	1	1	1	1	1	2.42	4.50E+00
58.03	2	2	1	10	3	3	3	3	1	1	2.13	5.00E-01
62.81	2	2	1	11	3	3	3	3	1	1	2.27	1.50E+00
68.6	2	2	1	12	1	1	1	1	1	1	2.17	5.50E+00
78.38	2	2	1	13	1	2	2	2	1	1	2.41	1.50E+00
84.16	2	2	1	14	2	2	2	2	1	1	2.48	1.50E+00
89.95	2	2	1	15	2	2	2	2	1	1	2.42	3.50E+00
97.73	2	2	1	16	3	3	3	3	1	1	2.23	5.00E-01
102.52	2	2	1	17	3	3	3	3	1	1	2.25	5.00E-01
107.3	2	2	1	18	2	2	2	2	1	1	2.46	1.50E+00
113.08	2	2	1	19	3	4	4	3	0	1	2.31	1.50E+00
118.87	2	2	1	20	1	1	1	1	1	1	2.3	1.50E+00
124.65	2	2	1	21	1	2	2	1	0	1	0.84	4.50E+00
133.43	2	2	1	22	2	2	2	2	1	1	2.32	3.50E+00
141.22	2	2	1	23	1	1	1	1	1	1	2.43	5.00E-01
146	2	2	1	24	3	4	4	4	1	1	2.49	1.50E+00
151.77	2	2	1	25	1	1	1	1	1	1	2.49	3.50E+00
159.55	2	2	1	26	3	3	3	3	1	1	2.6	5.00E-01
164.34	2	2	1	27	1	2	2	2	1	1	2.63	5.00E-01
169.12	2	2	1	28	4	3	3	3	1	1	2.62	8
181.39	2	2	1	29	4	4	4	4	1	1	2.78	5.00E-01
186.17	2	2	1	30	4	4	4	4	1	1	2.31	5.50E+00
195.96	2	2	1	31	4	4	4	4	1	1	1.21	2.50E+00
202.74	2	2	1	32	1	1	1	1	1	1	1.69	5.00E-01
207.52	2	2	1	33	4	3	3	4	0	1	1.57	1.50E+00
213.31	2	2	1	34	2	1	1	1	1	1	2.89	5.00E-01
218.09	2	2	1	35	1	1	1	1	1	1	1.21	3.50E+00
225.87	2	2	1	36	2	1	1	1	1	1	2.61	5.00E-01
230.66	2	2	1	37	2	2	2	2	1	1	2.69	3.50E+00
238.44	2	2	1	38	4	4	4	4	1	1	1.87	3.50E+00
246.23	2	2	1	39	1	2	2	1	0	1	0.97	5.00E-01
