onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	2	1	1	2	2	2	2	1	1	2.89	3.50E+00
8.29	2	2	1	2	1	1	1	1	1	1	2.47	5.00E-01
13.08	2	2	1	3	4	3	3	3	1	1	2.64	5.00E-01
17.86	2	2	1	4	2	2	2	2	1	1	2.57	5.00E-01
22.64	2	2	1	5	2	1	1	1	1	1	2.52	2.50E+00
29.43	2	2	1	6	1	1	1	1	1	1	2.85	5.00E-01
34.21	2	2	1	7	2	1	1	1	1	1	2.52	8
46.48	2	2	1	8	3	4	4	3	0	1	2.44	3.50E+00
54.26	2	2	1	9	2	2	2	2	1	1	2.75	5.00E-01
59.05	2	2	1	10	2	2	2	2	1	1	2.36	1.50E+00
64.83	2	2	1	11	2	2	2	2	1	1	2.41	5.00E-01
69.61	2	2	1	12	2	2	2	2	1	1	2.52	5.00E-01
74.4	2	2	1	13	2	2	2	2	1	1	2.37	5.00E-01
79.18	2	2	1	14	3	3	3	3	1	1	2.84	5.00E-01
83.95	2	2	1	15	4	4	4	3	0	1	2.49	4.50E+00
92.73	2	2	1	16	4	3	3	3	1	1	2.56	5.50E+00
102.52	2	2	1	17	4	3	3	3	1	1	2.98	5.00E-01
107.3	2	2	1	18	4	4	4	4	1	1	2.7	1.50E+00
113.08	2	2	1	19	2	2	2	2	1	1	3.15	1.50E+00
118.87	2	2	1	20	1	1	1	1	1	1	2.92	1.50E+00
124.65	2	2	1	21	2	2	2	2	1	1	3.32	5.00E-01
129.43	2	2	1	22	2	2	2	2	1	1	2.51	5.00E-01
134.22	2	2	1	23	3	4	4	4	1	1	3.16	1.50E+00
139.98	2	2	1	24	3	3	3	3	1	1	2.34	4.50E+00
148.77	2	2	1	25	2	2	2	2	1	1	2.76	5.50E+00
158.55	2	2	1	26	4	4	4	4	1	1	3.17	2.50E+00
165.34	2	2	1	27	4	4	4	4	1	1	2.71	1.50E+00
171.12	2	2	1	28	4	3	3	3	1	1	2.58	1.50E+00
176.9	2	2	1	29	3	3	3	3	1	1	2.54	3.50E+00
184.69	2	2	1	30	3	4	4	4	1	1	2.81	5.50E+00
194.47	2	2	1	31	2	2	2	2	1	1	2.55	5.00E-01
199.26	2	2	1	32	4	4	4	4	1	1	3.35	5.00E-01
204.02	2	2	1	33	1	2	2	2	1	1	2.59	3.50E+00
