onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	1	1	1	4	4	4	4	1	1	3.23	1.50E+00
6.29	2	1	1	2	2	2	2	1	0	1	2.9	1.50E+00
12.07	2	1	1	3	3	3	3	3	1	1	2.72	1.50E+00
17.86	2	1	1	4	1	1	1	1	1	1	2.84	3.50E+00
25.64	2	1	1	5	2	2	2	2	1	1	2.61	5.50E+00
35.43	2	1	1	6	1	2	2	2	1	1	2.76	2.50E+00
42.21	2	1	1	7	2	1	1	1	1	1	2.43	5.00E-01
46.99	2	1	1	8	4	4	4	4	1	1	2.95	1.50E+00
52.78	2	1	1	9	1	1	1	1	1	1	2.31	5.50E+00
62.56	2	1	1	10	1	2	2	1	0	1	2.19	1.50E+00
68.35	2	1	1	11	1	2	2	2	1	1	2.36	1.50E+00
74.13	2	1	1	12	1	1	1	1	1	1	2.37	4.50E+00
82.91	2	1	1	13	3	3	3	3	1	1	2.81	5.00E-01
87.7	2	1	1	14	1	2	2	2	1	1	2.45	1.50E+00
93.48	2	1	1	15	4	4	4	4	1	1	2.55	2.50E+00
100.26	2	1	1	16	2	1	1	1	1	1	2.86	5.50E+00
110.05	2	1	1	17	1	1	1	1	1	1	2.42	5.00E-01
114.83	2	1	1	18	3	3	3	3	1	1	2.36	5.00E-01
119.62	2	1	1	19	4	3	3	3	1	1	2.67	5.00E-01
124.4	2	1	1	20	4	4	4	4	1	1	2.45	1.50E+00
130.18	2	1	1	21	4	3	3	3	1	1	2.53	5.00E-01
134.97	2	1	1	22	3	3	3	3	1	1	2.25	3.50E+00
142.75	2	1	1	23	4	4	4	4	1	1	2.8	2.50E+00
149.53	2	1	1	24	2	2	2	2	1	1	2.38	5.00E-01
154.32	2	1	1	25	2	2	2	2	1	1	2.27	1.50E+00
160.1	2	1	1	26	4	4	4	4	1	1	2.67	2.50E+00
166.89	2	1	1	27	2	1	1	1	1	1	2.4	5.00E-01
171.67	2	1	1	28	3	4	4	3	0	1	1.9	5.50E+00
181.45	2	1	1	29	1	1	1	1	1	1	2.67	5.00E-01
186.24	2	1	1	30	2	2	2	2	1	1	2.35	5.00E-01
191.02	2	1	1	31	4	4	4	4	1	1	2.43	5.00E-01
195.8	2	1	1	32	2	1	1	1	1	1	2.65	5.00E-01
200.59	2	1	1	33	1	1	1	1	1	1	2.55	5.00E-01
205.37	2	1	1	34	1	2	2	2	1	1	2.58	8
217.64	2	1	1	35	2	1	1	1	1	1	2.59	5.00E-01
222.42	2	1	1	36	4	3	3	3	1	1	2.47	5.00E-01
227.21	2	1	1	37	1	1	1	1	1	1	2.4	5.00E-01
231.99	2	1	1	38	3	3	3	3	1	1	2.32	1.50E+00
237.77	2	1	1	39	4	4	4	4	1	1	2.82	4.50E+00
246.56	2	1	1	40	3	3	3	3	1	1	2.66	5.00E-01
251.34	2	1	1	41	4	3	3	3	1	1	2.59	5.00E-01
256.12	2	1	1	42	1	1	1	1	1	1	2.3	5.00E-01
260.91	2	1	1	43	1	2	2	2	1	1	2.34	5.00E-01
265.69	2	1	1	44	4	3	3	3	1	1	2.42	1.50E+00
271.48	2	1	1	45	2	2	2	2	1	1	2.56	5.00E-01
276.26	2	1	1	46	4	3	3	3	1	1	2.44	5.00E-01
281.04	2	1	1	47	1	2	2	2	1	1	2.46	5.00E-01
285.83	2	1	1	48	4	4	4	4	1	1	2.74	5.00E-01
290.61	2	1	1	49	3	3	3	3	1	1	2.51	3.50E+00
298.39	2	1	1	50	4	4	4	4	1	1	2.52	5.00E-01
303.18	2	1	1	51	1	2	2	2	1	1	2.34	3.50E+00
310.96	2	1	1	52	2	2	2	2	1	1	2.39	5.00E-01
315.75	2	1	1	53	3	4	4	4	1	1	2.39	1.50E+00
321.53	2	1	1	54	2	2	2	2	1	1	2.37	5.00E-01
326.31	2	1	1	55	4	4	4	4	1	1	2.35	3.50E+00
334.1	2	1	1	56	2	1	1	2	0	1	2.31	3.50E+00
341.88	2	1	1	57	3	3	3	3	1	1	3.04	5.00E-01
346.66	2	1	1	58	3	4	4	4	1	1	2.51	1.50E+00
352.43	2	1	1	59	4	4	4	4	1	1	2.65	5.50E+00
362.2	2	1	1	60	2	1	1	1	1	1	2.4	2.50E+00
368.98	2	1	1	61	3	3	3	3	1	1	2.9	2.50E+00
375.77	2	1	1	62	3	4	4	4	1	1	2.61	5.00E-01
380.55	2	1	1	63	3	3	3	3	1	1	2.56	5.00E-01
385.33	2	1	1	64	3	3	3	3	1	1	2.38	5.00E-01
390.12	2	1	1	65	3	4	4	4	1	1	2.64	3.50E+00
397.9	2	1	1	66	1	1	1	1	1	1	2.53	2.50E+00
404.68	2	1	1	67	4	4	4	4	1	1	2.72	5.00E-01
409.47	2	1	1	68	2	1	1	1	1	1	2.54	2.50E+00
416.25	2	1	1	69	4	3	3	3	1	1	2.78	4.50E+00
425.04	2	1	1	70	1	2	2	2	1	1	2.51	5.50E+00
434.82	2	1	1	71	3	3	3	3	1	1	2.48	1.50E+00
440.6	2	1	1	72	1	1	1	1	1	1	2.63	1.50E+00
