onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	2	1	1	3	3	3	3	1	1	2.52	5.00E-01
5.27	2	2	1	2	2	1	1	1	1	1	2.38	3.50E+00
13.04	2	2	1	3	4	4	4	4	1	1	2.38	5.00E-01
17.81	2	2	1	4	2	2	2	1	0	1	1.19	5.00E-01
22.58	2	2	1	5	1	2	2	2	1	1	2.36	5.50E+00
32.34	2	2	1	6	3	3	3	3	1	1	2.34	4.50E+00
41.11	2	2	1	7	4	4	4	4	1	1	1.31	1.50E+00
46.88	2	2	1	8	3	4	4	3	0	1	1.01	5.00E-01
51.64	2	2	1	9	1	2	2	2	1	1	1.36	1.50E+00
57.41	2	2	1	10	4	3	3	4	0	1	0.96	3.50E+00
65.18	2	2	1	11	1	2	2	2	1	1	1	1.50E+00
70.95	2	2	1	12	4	4	4	4	1	1	0.99	5.00E-01
75.71	2	2	1	13	4	4	4	4	1	1	0.95	5.00E-01
80.48	2	2	1	14	1	2	2	2	1	1	0.78	1.50E+00
86.25	2	2	1	15	2	2	2	2	1	1	2.43	5.00E-01
91.01	2	2	1	16	2	2	2	1	0	1	1.27	8
103.28	2	2	1	17	3	3	3	1	0	1	1.06	5.00E-01
108.05	2	2	1	18	3	4	4	3	0	1	0.88	1.50E+00
113.82	2	2	1	19	4	4	4	4	1	1	0.79	5.00E-01
118.58	2	2	1	20	4	4	4	4	1	1	0.88	5.00E-01
123.35	2	2	1	21	2	1	1	1	1	1	1.21	3.50E+00
131.12	2	2	1	22	1	2	2	2	1	1	0.71	3.50E+00
138.88	2	2	1	23	1	1	1	2	0	1	0.94	1.50E+00
144.65	2	2	1	24	1	1	1	2	0	1	1.44	1.50E+00
150.42	2	2	1	25	1	1	1	2	0	1	0.61	5.00E-01
155.18	2	2	1	26	2	1	1	1	1	1	1.25	5.00E-01
159.95	2	2	1	27	4	4	4	4	1	1	2.45	2.50E+00
166.72	2	2	1	28	1	1	1	2	0	1	0.98	5.00E-01
171.49	2	2	1	29	1	1	1	1	1	1	0.52	2.50E+00
178.25	2	2	1	30	3	3	3	3	1	1	0.81	1.50E+00
184.02	2	2	1	31	3	3	3	3	1	1	1.06	1.50E+00
189.79	2	2	1	32	4	3	3	4	0	1	0.69	5.50E+00
199.55	2	2	1	33	1	1	1	2	0	1	1.38	5.00E-01
204.32	2	2	1	34	2	2	2	2	1	1	1.08	2.50E+00
211.09	2	2	1	35	4	4	4	4	1	1	0.71	1.50E+00
216.86	2	2	1	36	3	4	4	3	0	1	0.91	5.00E-01
221.62	2	2	1	37	1	1	1	1	1	1	0.85	5.00E-01
226.39	2	2	1	38	4	3	3	4	0	1	0.83	5.00E-01
231.16	2	2	1	39	2	1	1	2	0	1	1.37	2.50E+00
