onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.5	2	1	1	1	1	1	1	1	1	1	2.49	3.50E+00
8.29	2	1	1	2	4	3	3	3	1	1	2.81	5.00E-01
13.05	2	1	1	3	2	2	2	2	1	1	2.29	2.50E+00
19.82	2	1	1	4	1	1	1	1	1	1	0.65	1.50E+00
25.59	2	1	1	5	2	2	2	2	1	1	1.09	1.50E+00
31.35	2	1	1	6	2	1	1	3	0	1	0.59	1.50E+00
37.12	2	1	1	7	2	2	2	2	1	1	0.78	2.50E+00
43.89	2	1	1	8	2	2	2	1	0	1	1.13	5.00E-01
48.66	2	1	1	9	3	4	4	4	1	1	2.49	5.00E-01
53.42	2	1	1	10	4	4	4	3	0	1	0.68	5.50E+00
63.19	2	1	1	11	3	3	3	3	1	1	2.53	5.00E-01
67.96	2	1	1	12	4	4	4	4	1	1	2.18	4.50E+00
76.72	2	1	1	13	3	3	3	3	1	1	2.25	5.00E-01
81.49	2	1	1	14	2	2	2	2	1	1	2.3	5.00E-01
86.26	2	1	1	15	3	4	4	3	0	1	1.15	5.00E-01
91.02	2	1	1	16	1	1	1	1	1	1	1	1.50E+00
96.79	2	1	1	17	4	3	3	3	1	1	2.36	5.00E-01
101.56	2	1	1	18	2	2	2	2	1	1	1	3.50E+00
109.33	2	1	1	19	1	1	1	1	1	1	0.79	5.00E-01
114.09	2	1	1	20	4	3	3	3	1	1	0.73	3.50E+00
121.86	2	1	1	21	2	2	2	2	1	1	0.84	1.50E+00
127.63	2	1	1	22	4	3	3	3	1	1	2.49	5.50E+00
137.39	2	1	1	23	4	3	3	3	1	1	0.62	2.50E+00
144.16	2	1	1	24	3	3	3	1	0	1	0.69	1.50E+00
149.93	2	1	1	25	4	4	4	3	0	1	0.81	1.50E+00
155.69	2	1	1	26	1	2	2	1	0	1	1.09	1.50E+00
161.46	2	1	1	27	2	2	2	2	1	1	2.42	5.00E-01
166.23	2	1	1	28	3	3	3	1	0	1	0.62	4.50E+00
175	2	1	1	29	3	3	3	3	1	1	2.32	1.50E+00
180.76	2	1	1	30	3	4	4	3	0	1	0.75	5.00E-01
185.53	2	1	1	31	3	3	3	3	1	1	2.34	4.50E+00
194.3	2	1	1	32	2	2	2	2	1	1	2.26	8
206.57	2	1	1	33	1	1	1	1	1	1	2.17	5.00E-01
211.33	2	1	1	34	1	1	1	1	1	1	0.87	2.50E+00
218.1	2	1	1	35	1	1	1	1	1	1	2.62	5.00E-01
222.87	2	1	1	36	1	1	1	1	1	1	2.13	5.50E+00
232.63	2	1	1	37	2	1	1	2	0	1	2.15	1.50E+00
238.4	2	1	1	38	3	3	3	3	1	1	2.49	5.00E-01
243.17	2	1	1	39	2	2	2	1	0	1	2.18	5.00E-01
247.93	2	1	1	40	4	3	3	3	1	1	2.34	8
260.2	2	1	1	41	1	1	1	1	1	1	2.17	1.50E+00
265.97	2	1	1	42	2	2	2	2	1	1	0.96	5.00E-01
270.74	2	1	1	43	4	4	4	3	0	1	0.8	5.00E-01
275.5	2	1	1	44	4	3	3	4	0	1	0.95	5.00E-01
280.27	2	1	1	45	2	2	2	4	0	1	1.08	5.00E-01
285.04	2	1	1	46	3	3	3	3	1	1	2.39	5.00E-01
289.8	2	1	1	47	2	1	1	1	1	1	2.41	2.50E+00
296.57	2	1	1	48	4	4	4	4	1	1	2.22	5.00E-01
301.34	2	1	1	49	4	3	3	3	1	1	2.37	5.00E-01
306.11	2	1	1	50	1	1	1	1	1	1	1.77	5.00E-01
310.87	2	1	1	51	1	2	2	2	1	1	2.21	4.50E+00
319.64	2	1	1	52	4	4	4	4	1	1	1.28	3.50E+00
327.41	2	1	1	53	3	4	4	3	0	1	0.67	5.00E-01
332.17	2	1	1	54	1	1	1	1	1	1	0.71	5.00E-01
336.94	2	1	1	55	2	2	2	2	1	1	0.71	2.50E+00
343.71	2	1	1	56	4	4	4	3	0	1	0.73	5.00E-01
348.48	2	1	1	57	2	2	2	2	1	1	2.18	5.00E-01
353.24	2	1	1	58	1	1	1	n/a	n/a	1	n/a	3.50E+00
361.01	2	1	1	59	1	2	2	n/a	n/a	1	n/a	5.50E+00
370.78	2	1	1	60	1	1	1	1	1	1	2.33	1.50E+00
376.54	2	1	1	61	3	4	4	3	0	1	2.54	5.00E-01
381.31	2	1	1	62	1	1	1	1	1	1	2.26	5.00E-01
386.08	2	1	1	63	4	3	3	3	1	1	2.5	1.50E+00
391.84	2	1	1	64	3	4	4	3	0	1	2.39	1.50E+00
397.61	2	1	1	65	3	3	3	3	1	1	2.37	1.50E+00
403.38	2	1	1	66	1	2	2	2	1	1	2.35	1.50E+00
409.15	2	1	1	67	3	3	3	3	1	1	2.59	5.00E-01
413.91	2	1	1	68	2	2	2	2	1	1	2.35	2.50E+00
420.68	2	1	1	69	4	3	3	3	1	1	2.48	3.50E+00
428.45	2	1	1	70	4	4	4	4	1	1	2.45	2.50E+00
435.21	2	1	1	71	4	3	3	3	1	1	2.46	5.00E-01
439.98	2	1	1	72	1	1	1	1	1	1	2.22	5.00E-01
444.75	2	1	1	73	2	2	2	2	1	1	2.34	5.50E+00
454.52	2	1	1	74	4	4	4	3	0	1	2.25	1.50E+00
460.28	2	1	1	75	3	4	4	4	1	1	2.4	5.00E-01
465.05	2	1	1	76	3	3	3	3	1	1	2.28	5.00E-01
469.82	2	1	1	77	3	3	3	4	0	1	2.28	1.50E+00
475.58	2	1	1	78	4	3	3	3	1	1	2.41	5.50E+00
485.35	2	1	1	79	3	4	4	4	1	1	2.44	5.00E-01
490.12	2	1	1	80	2	2	2	2	1	1	2.28	3.50E+00
497.89	2	1	1	81	1	1	1	1	1	1	2.33	5.00E-01
502.65	2	1	1	82	2	2	2	3	0	1	1.11	3.50E+00
510.42	2	1	1	83	2	2	2	2	1	1	2.19	5.00E-01
515.19	2	1	1	84	2	1	1	2	0	1	0.96	2.50E+00
521.95	2	1	1	85	3	3	3	3	1	1	2.61	3.50E+00
529.72	2	1	1	86	2	1	1	1	1	1	2.38	1.50E+00
