onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	2	1	1	1	2	2	1	0	1	2.86	1.50E+00
6.29	2	2	1	2	4	4	4	4	1	1	2.65	5.50E+00
16.08	2	2	1	3	1	2	2	2	1	1	0.65	1.50E+00
21.86	2	2	1	4	4	3	3	4	0	1	0.9	5.00E-01
26.64	2	2	1	5	1	1	1	2	0	1	0.62	5.00E-01
31.43	2	2	1	6	4	3	3	4	0	1	0.93	1.50E+00
37.21	2	2	1	7	4	3	3	3	1	1	0.72	5.00E-01
41.99	2	2	1	8	1	2	2	2	1	1	0.62	4.50E+00
50.78	2	2	1	9	3	3	3	4	0	1	2.45	5.00E-01
55.56	2	2	1	10	1	1	1	2	0	1	0.74	1.50E+00
61.35	2	2	1	11	1	1	1	2	0	1	0.63	5.50E+00
71.13	2	2	1	12	4	4	4	3	0	1	0.75	5.50E+00
80.91	2	2	1	13	4	4	4	4	1	1	2.89	2.50E+00
87.7	2	2	1	14	3	3	3	3	1	1	2.64	5.00E-01
92.48	2	2	1	15	4	4	4	4	1	1	1.05	5.00E-01
97.26	2	2	1	16	3	4	4	3	0	1	0.89	5.00E-01
102.05	2	2	1	17	3	3	3	3	1	1	2.37	1.50E+00
107.83	2	2	1	18	2	2	2	1	0	1	1	3.50E+00
115.62	2	2	1	19	3	4	4	3	0	1	0.92	5.00E-01
120.4	2	2	1	20	4	3	3	4	0	1	0.85	4.50E+00
129.18	2	2	1	21	1	2	2	2	1	1	2.34	5.50E+00
138.97	2	2	1	22	2	1	1	1	1	1	0.65	1.50E+00
144.75	2	2	1	23	2	2	2	1	0	1	0.65	3.50E+00
152.54	2	2	1	24	4	3	3	3	1	1	2.33	3.50E+00
160.32	2	2	1	25	1	1	1	1	1	1	2.23	4.50E+00
169.1	2	2	1	26	4	3	3	3	1	1	2.26	5.00E-01
173.89	2	2	1	27	3	4	4	4	1	1	0.51	5.00E-01
178.67	2	2	1	28	1	2	2	2	1	1	2.17	3.50E+00
186.45	2	2	1	29	1	1	1	2	0	1	0.53	1.50E+00
192.24	2	2	1	30	2	2	2	1	0	1	0.71	1.50E+00
198.02	2	2	1	31	2	2	2	2	1	1	2.26	1.50E+00
203.81	2	2	1	32	1	2	2	2	1	1	2.34	5.00E-01
208.59	2	2	1	33	2	1	1	1	1	1	2.4	3.50E+00
216.37	2	2	1	34	3	3	3	3	1	1	2.51	5.00E-01
221.16	2	2	1	35	3	3	3	3	1	1	0.54	3.50E+00
228.94	2	2	1	36	2	2	2	2	1	1	2.4	2.50E+00
235.72	2	2	1	37	4	4	4	4	1	1	1.34	5.00E-01
240.51	2	2	1	38	2	1	1	2	0	1	1.53	5.00E-01
245.29	2	2	1	39	1	1	1	1	1	1	2.25	5.00E-01
250.08	2	2	1	40	1	2	2	2	1	1	2.28	1.50E+00
255.86	2	2	1	41	1	1	1	1	1	1	2.32	5.00E-01
260.64	2	2	1	42	4	4	4	4	1	1	1.09	5.00E-01
265.43	2	2	1	43	3	4	4	3	0	1	0.84	3.50E+00
273.21	2	2	1	44	1	1	1	2	0	1	1.22	1.50E+00
278.99	2	2	1	45	2	1	1	2	0	1	1.15	5.00E-01
283.78	2	2	1	46	1	1	1	1	1	1	2.36	2.50E+00
290.56	2	2	1	47	4	3	3	3	1	1	2.41	1.50E+00
296.35	2	2	1	48	4	4	4	3	0	1	0.8	5.00E-01
301.13	2	2	1	49	1	2	2	2	1	1	2.34	1.50E+00
306.91	2	2	1	50	3	4	4	4	1	1	2.67	5.00E-01
311.7	2	2	1	51	3	4	4	4	1	1	0.81	2.50E+00
318.48	2	2	1	52	3	4	4	4	1	1	0.67	5.00E-01
323.26	2	2	1	53	4	3	3	3	1	1	0.6	5.00E-01
328.05	2	2	1	54	3	4	4	4	1	1	0.82	5.00E-01
332.83	2	2	1	55	1	1	1	1	1	1	2.33	5.00E-01
337.61	2	2	1	56	1	1	1	1	1	1	0.8	5.00E-01
342.4	2	2	1	57	2	2	2	2	1	1	0.78	1.50E+00
348.18	2	2	1	58	3	4	4	4	1	1	2.35	5.00E-01
352.97	2	2	1	59	2	2	2	2	1	1	0.87	5.00E-01
357.75	2	2	1	60	2	2	2	2	1	1	0.57	5.00E-01
362.53	2	2	1	61	2	1	1	2	0	1	0.5	2.50E+00
369.32	2	2	1	62	3	3	3	3	1	1	2.48	5.00E-01
374.1	2	2	1	63	3	4	4	3	0	1	0.84	2.50E+00
380.88	2	2	1	64	3	3	3	3	1	1	2.29	1.50E+00
386.67	2	2	1	65	4	4	4	4	1	1	0.61	5.00E-01
391.45	2	2	1	66	2	1	1	2	0	1	0.73	2.50E+00
398.24	2	2	1	67	1	2	2	2	1	1	2.2	5.50E+00
408.02	2	2	1	68	1	2	2	2	1	1	1.22	5.00E-01
412.8	2	2	1	69	3	3	3	3	1	1	1.49	5.00E-01
417.59	2	2	1	70	4	3	3	4	0	1	0.52	1.50E+00
423.37	2	2	1	71	4	4	4	3	0	1	1.33	1.50E+00
429.15	2	2	1	72	4	3	3	3	1	1	2.37	2.50E+00
435.94	2	2	1	73	2	1	1	1	1	1	2.15	2.50E+00
442.72	2	2	1	74	4	3	3	3	1	1	2.39	5.00E-01
447.51	2	2	1	75	2	2	2	1	0	1	1.24	5.00E-01
452.29	2	2	1	76	1	1	1	1	1	1	2.3	8
464.57	2	2	1	77	2	2	2	2	1	1	2.34	5.00E-01
469.36	2	2	1	78	3	3	3	3	1	1	2.46	4.50E+00
478.14	2	2	1	79	4	3	3	4	0	1	0.74	8
490.42	2	2	1	80	3	3	3	3	1	1	2.34	5.00E-01
495.21	2	2	1	81	4	4	4	4	1	1	0.64	5.00E-01
499.99	2	2	1	82	4	4	4	4	1	1	1.35	5.00E-01
504.78	2	2	1	83	3	4	4	3	0	1	0.78	3.50E+00
512.56	2	2	1	84	1	1	1	1	1	1	2.41	1.50E+00
518.34	2	2	1	85	4	4	4	4	1	1	2.4	5.00E-01
523.13	2	2	1	86	2	2	2	2	1	1	2.15	5.00E-01
