onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.52	2	1	1	1	2	1	1	1	1	1	2.45	1.50E+00
6.3	2	1	1	2	4	4	4	4	1	1	2.7	2.50E+00
13.08	2	1	1	3	4	4	4	4	1	1	2.26	2.50E+00
19.87	2	1	1	4	3	3	3	3	1	1	2.51	5.00E-01
24.65	2	1	1	5	4	4	4	4	1	1	2.2	5.00E-01
29.43	2	1	1	6	3	3	3	3	1	1	2.12	3.50E+00
37.22	2	1	1	7	1	1	1	1	1	1	2.47	2.50E+00
44	2	1	1	8	2	1	1	1	1	1	2.36	3.50E+00
51.79	2	1	1	9	1	2	2	2	1	1	2.41	5.00E-01
56.57	2	1	1	10	4	4	4	4	1	1	2.5	5.00E-01
61.35	2	1	1	11	4	3	3	4	0	1	2.28	1.50E+00
67.14	2	1	1	12	2	2	2	2	1	1	2.58	1.50E+00
72.92	2	1	1	13	2	2	2	2	1	1	2.27	2.50E+00
79.7	2	1	1	14	1	2	2	2	1	1	2.35	5.50E+00
89.49	2	1	1	15	1	1	1	1	1	1	2.45	2.50E+00
96.27	2	1	1	16	2	2	2	2	1	1	2.45	3.50E+00
104.06	2	1	1	17	1	1	1	1	1	1	2.27	5.00E-01
108.84	2	1	1	18	2	1	1	1	1	1	2.25	5.00E-01
113.62	2	1	1	19	1	2	2	2	1	1	2.36	3.50E+00
121.41	2	1	1	20	1	1	1	1	1	1	2.3	1.50E+00
127.19	2	1	1	21	3	3	3	3	1	1	2.68	8
139.46	2	1	1	22	3	4	4	3	0	1	2.59	5.00E-01
144.24	2	1	1	23	1	1	1	1	1	1	2.56	3.50E+00
152.03	2	1	1	24	2	2	2	2	1	1	2.41	5.50E+00
161.81	2	1	1	25	1	1	1	1	1	1	2.21	1.50E+00
167.59	2	1	1	26	1	1	1	1	1	1	2.19	5.00E-01
172.38	2	1	1	27	1	1	1	1	1	1	1.15	5.00E-01
177.16	2	1	1	28	3	3	3	3	1	1	2.69	5.00E-01
181.94	2	1	1	29	2	2	2	2	1	1	2.23	2.50E+00
188.73	2	1	1	30	4	3	3	4	0	1	1.23	4.50E+00
197.51	2	1	1	31	1	2	2	2	1	1	2.55	5.00E-01
202.3	2	1	1	32	1	1	1	1	1	1	2.35	5.00E-01
207.08	2	1	1	33	2	2	2	2	1	1	2.32	5.00E-01
211.86	2	1	1	34	4	4	4	4	1	1	2.7	5.00E-01
216.65	2	1	1	35	1	1	1	1	1	1	2.2	5.00E-01
221.43	2	1	1	36	3	3	3	3	1	1	2.12	5.00E-01
226.21	2	1	1	37	4	4	4	4	1	1	2.49	2.50E+00
233	2	1	1	38	3	4	4	4	1	1	2.57	5.00E-01
237.78	2	1	1	39	2	1	1	2	0	1	1.98	1.50E+00
243.57	2	1	1	40	4	4	4	4	1	1	2.94	5.50E+00
253.35	2	1	1	41	3	3	3	3	1	1	2.32	5.00E-01
258.13	2	1	1	42	2	1	1	1	1	1	2.34	5.00E-01
262.92	2	1	1	43	4	4	4	4	1	1	2.67	5.00E-01
267.7	2	1	1	44	3	4	4	4	1	1	2.42	1.50E+00
273.48	2	1	1	45	4	4	4	4	1	1	1.56	2.50E+00
280.27	2	1	1	46	2	2	2	1	0	1	1.26	5.00E-01
285.05	2	1	1	47	3	3	3	3	1	1	2.74	5.00E-01
289.83	2	1	1	48	2	2	2	2	1	1	2.42	3.50E+00
297.62	2	1	1	49	3	3	3	4	0	1	0.94	4.50E+00
306.4	2	1	1	50	3	3	3	4	0	1	0.81	5.00E-01
