onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	1	1	1	1	2	2	n/a	n/a	1	n/a	4.50E+00
9.28	2	1	1	2	4	3	3	n/a	n/a	1	n/a	1.50E+00
15.05	2	1	1	3	4	4	4	n/a	n/a	1	n/a	1.50E+00
20.82	2	1	1	4	2	2	2	n/a	n/a	1	n/a	3.50E+00
28.58	2	1	1	5	1	1	1	2	0	1	0.82	5.50E+00
38.35	2	1	1	6	1	2	2	2	1	1	0.72	5.00E-01
43.12	2	1	1	7	3	4	4	4	1	1	2.43	5.00E-01
47.88	2	1	1	8	3	4	4	4	1	1	1.23	5.50E+00
57.65	2	1	1	9	1	2	2	2	1	1	0.86	5.00E-01
62.42	2	1	1	10	4	3	3	3	1	1	0.84	5.00E-01
67.19	2	1	1	11	4	4	4	4	1	1	2.51	5.50E+00
76.95	2	1	1	12	2	2	2	1	0	1	0.89	2.50E+00
83.72	2	1	1	13	1	2	2	2	1	1	0.65	4.50E+00
92.49	2	1	1	14	3	3	3	4	0	1	0.56	5.00E-01
97.25	2	1	1	15	1	1	1	2	0	1	0.85	1.50E+00
103.02	2	1	1	16	3	3	3	3	1	1	2.27	3.50E+00
110.79	2	1	1	17	1	1	1	2	0	1	0.7	5.00E-01
115.56	2	1	1	18	1	1	1	1	1	1	2.3	5.00E-01
120.32	2	1	1	19	4	4	4	4	1	1	2.41	2.50E+00
127.09	2	1	1	20	2	1	1	1	1	1	2.34	5.00E-01
131.86	2	1	1	21	3	3	3	3	1	1	2.29	3.50E+00
139.62	2	1	1	22	4	3	3	3	1	1	2.31	2.50E+00
146.39	2	1	1	23	4	3	3	3	1	1	2.18	5.00E-01
151.16	2	1	1	24	2	1	1	1	1	1	2.24	1.50E+00
156.93	2	1	1	25	2	1	1	1	1	1	0.6	1.50E+00
162.69	2	1	1	26	2	1	1	1	1	1	0.91	2.50E+00
169.46	2	1	1	27	4	3	3	3	1	1	0.85	5.00E-01
174.23	2	1	1	28	1	1	1	2	0	1	0.78	5.00E-01
178.99	2	1	1	29	2	2	2	1	0	1	0.73	5.00E-01
183.76	2	1	1	30	2	2	2	2	1	1	2.3	1.50E+00
189.53	2	1	1	31	3	4	4	4	1	1	2.18	5.00E-01
194.29	2	1	1	32	2	1	1	1	1	1	2.26	5.50E+00
204.06	2	1	1	33	3	4	4	4	1	1	2.36	5.00E-01
208.83	2	1	1	34	4	3	3	3	1	1	0.65	3.50E+00
216.6	2	1	1	35	2	2	2	1	0	1	2.12	1.50E+00
222.36	2	1	1	36	2	1	1	1	1	1	0.7	5.00E-01
