onset	duration	type	repeat
167248.363	0.5	4	0
167250.1633	0.5	4	0
167251.9629	0.5	4	0
167253.7636	0.5	4	0
167255.5638	0.5	4	0
167257.3638	0.5	4	1
167259.1643	0.5	4	0
167260.9637	0.5	4	1
167262.7493	0.5	4	0
167264.547	0.5	4	0
167278.3336	0.5	2	0
167280.1323	0.5	2	0
167281.9321	0.5	2	0
167283.7323	0.5	2	0
167285.5317	0.5	2	0
167287.3323	0.5	2	1
167289.1321	0.5	2	0
167290.9319	0.5	2	0
167292.7319	0.5	2	1
167294.5324	0.5	2	0
167308.3173	0.5	1	0
167310.1174	0.5	1	0
167311.9172	0.5	1	0
167313.7174	0.5	1	1
167315.5172	0.5	1	0
167317.3177	0.5	1	1
167319.1179	0.5	1	0
167320.9181	0.5	1	0
167322.7178	0.5	1	0
167324.5186	0.5	1	0
167338.3193	0.5	4	0
167340.1193	0.5	4	1
167341.9188	0.5	4	0
167343.7195	0.5	4	1
167345.5197	0.5	4	0
167347.3198	0.5	4	0
167349.1199	0.5	4	0
167350.92	0.5	4	0
167352.7201	0.5	4	0
167354.52	0.5	4	0
167368.3062	0.5	1	0
167370.1046	0.5	1	0
167371.9045	0.5	1	0
167373.7042	0.5	1	0
167375.5049	0.5	1	0
167377.3046	0.5	1	1
167379.1053	0.5	1	0
167380.9052	0.5	1	1
167382.7058	0.5	1	0
167384.5058	0.5	1	0
167398.3064	0.5	1	0
167400.1066	0.5	1	1
167401.907	0.5	1	0
167403.7067	0.5	1	0
167405.5073	0.5	1	0
167407.3072	0.5	1	0
167409.1074	0.5	1	0
167410.9073	0.5	1	0
167412.7074	0.5	1	1
167414.5083	0.5	1	0
167428.3085	0.5	2	0
167430.1081	0.5	2	0
167431.9086	0.5	2	0
167433.7085	0.5	2	0
167435.5084	0.5	2	0
167437.3091	0.5	2	1
167439.1089	0.5	2	0
167440.9089	0.5	2	0
167442.7094	0.5	2	1
167444.5096	0.5	2	0
167458.3105	0.5	3	0
167460.1105	0.5	3	1
167461.9113	0.5	3	0
167463.7107	0.5	3	0
167465.5106	0.5	3	1
167467.3112	0.5	3	0
167469.1116	0.5	3	0
167470.9108	0.5	3	0
167472.7113	0.5	3	0
167474.5117	0.5	3	0
167488.3125	0.5	3	0
167490.1125	0.5	3	1
167491.9129	0.5	3	0
167493.7123	0.5	3	0
167495.5129	0.5	3	0
167497.3133	0.5	3	1
167499.1134	0.5	3	0
167500.9133	0.5	3	0
167502.7129	0.5	3	0
167504.5133	0.5	3	0
167518.314	0.5	4	0
167520.1144	0.5	4	1
167521.9147	0.5	4	0
167523.715	0.5	4	0
167525.5153	0.5	4	0
167527.315	0.5	4	0
167529.1153	0.5	4	0
167530.9154	0.5	4	0
167532.715	0.5	4	1
167534.5162	0.5	4	0
167548.3165	0.5	2	0
167550.1165	0.5	2	0
167551.9167	0.5	2	0
167553.7168	0.5	2	0
167555.5177	0.5	2	0
167557.3165	0.5	2	0
167559.1174	0.5	2	0
167560.9171	0.5	2	1
167562.7178	0.5	2	0
167564.5177	0.5	2	1
167578.3185	0.5	3	0
167580.1184	0.5	3	0
167581.9189	0.5	3	0
167583.7183	0.5	3	0
167585.5195	0.5	3	0
167587.3194	0.5	3	0
167589.1193	0.5	3	1
167590.919	0.5	3	0
167592.7196	0.5	3	0
167594.5198	0.5	3	1
