onset	duration	type	repeat
22742.9389	0.5	2	0
22744.7391	0.5	2	0
22746.5386	0.5	2	0
22748.3386	0.5	2	1
22750.1397	0.5	2	0
22751.9393	0.5	2	0
22753.7398	0.5	2	0
22755.5399	0.5	2	0
22757.3397	0.5	2	1
22759.1399	0.5	2	0
22772.9412	0.5	1	0
22774.7413	0.5	1	0
22776.5414	0.5	1	0
22778.3413	0.5	1	0
22780.1412	0.5	1	1
22781.9415	0.5	1	0
22783.7417	0.5	1	1
22785.5421	0.5	1	0
22787.3415	0.5	1	0
22789.1423	0.5	1	0
22802.9427	0.5	4	0
22804.743	0.5	4	1
22806.543	0.5	4	0
22808.3435	0.5	4	0
22810.1437	0.5	4	0
22811.9432	0.5	4	0
22813.744	0.5	4	0
22815.5437	0.5	4	1
22817.3439	0.5	4	0
22819.1443	0.5	4	0
22832.945	0.5	3	0
22834.7449	0.5	3	0
22836.5453	0.5	3	0
22838.3447	0.5	3	0
22840.1452	0.5	3	1
22841.9453	0.5	3	0
22843.7459	0.5	3	1
22845.5459	0.5	3	0
22847.3462	0.5	3	0
22849.146	0.5	3	0
22862.9466	0.5	3	0
22864.7466	0.5	3	1
22866.547	0.5	3	0
22868.347	0.5	3	0
22870.1481	0.5	3	0
22871.9638	0.5	3	0
22873.7648	0.5	3	0
22875.5647	0.5	3	1
22877.3647	0.5	3	0
22879.1648	0.5	3	0
22892.9659	0.5	2	0
22894.7662	0.5	2	0
22896.5663	0.5	2	0
22898.3655	0.5	2	0
22900.1659	0.5	2	1
22901.9659	0.5	2	0
22903.7661	0.5	2	1
22905.5669	0.5	2	0
22907.3666	0.5	2	0
22909.1664	0.5	2	0
22922.9678	0.5	1	0
22924.7683	0.5	1	0
22926.5682	0.5	1	0
22928.3677	0.5	1	0
22930.1679	0.5	1	0
22931.9682	0.5	1	1
22933.7684	0.5	1	0
22935.5684	0.5	1	1
22937.3681	0.5	1	0
22939.1683	0.5	1	0
22952.9693	0.5	1	0
22954.7702	0.5	1	0
22956.5694	0.5	1	0
22958.3697	0.5	1	1
22960.1703	0.5	1	0
22961.9704	0.5	1	1
22963.7703	0.5	1	0
22965.5703	0.5	1	0
22967.3707	0.5	1	0
22969.1711	0.5	1	0
22982.9715	0.5	2	0
22984.7714	0.5	2	0
22986.5717	0.5	2	0
22988.3719	0.5	2	1
22990.172	0.5	2	0
22991.9726	0.5	2	0
22993.7718	0.5	2	0
22995.5722	0.5	2	1
22997.3724	0.5	2	0
22999.1723	0.5	2	0
23012.9731	0.5	3	0
23014.7732	0.5	3	0
23016.5743	0.5	3	0
23018.3741	0.5	3	1
23020.1745	0.5	3	0
23021.9746	0.5	3	0
23023.7746	0.5	3	1
23025.5749	0.5	3	0
23027.3751	0.5	3	0
23029.1752	0.5	3	0
23042.9753	0.5	4	0
23044.7758	0.5	4	0
23046.5762	0.5	4	0
23048.3757	0.5	4	0
23050.1766	0.5	4	0
23051.9765	0.5	4	0
23053.7767	0.5	4	1
23055.577	0.5	4	0
23057.3771	0.5	4	0
23059.1763	0.5	4	1
23072.978	0.5	4	0
23074.7781	0.5	4	0
23076.5778	0.5	4	0
23078.3782	0.5	4	1
23080.1784	0.5	4	0
23081.9782	0.5	4	1
23083.7785	0.5	4	0
23085.5787	0.5	4	0
23087.3783	0.5	4	0
23089.1782	0.5	4	0
