onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	1	1	1	3	3	3	n/a	n/a	1	n/a	5.00E-01
5.3	2	1	1	2	2	2	2	n/a	n/a	1	n/a	1.50E+00
11.08	2	1	1	3	1	2	2	n/a	n/a	1	n/a	5.00E-01
15.86	2	1	1	4	4	4	4	n/a	n/a	1	n/a	5.00E-01
20.65	2	1	1	5	3	3	3	n/a	n/a	1	n/a	5.00E-01
25.43	2	1	1	6	1	2	2	n/a	n/a	1	n/a	5.00E-01
30.22	2	1	1	7	1	1	1	n/a	n/a	1	n/a	5.00E-01
35	2	1	1	8	4	4	4	n/a	n/a	1	n/a	5.00E-01
39.78	2	1	1	9	2	2	2	1	0	1	3.55	1.50E+00
45.57	2	1	1	10	1	1	1	2	0	1	0.75	3.50E+00
53.35	2	1	1	11	2	2	2	2	1	1	0.57	5.50E+00
63.13	2	1	1	12	2	1	1	1	1	1	0.48	2.50E+00
69.92	2	1	1	13	4	3	3	4	0	1	0.95	5.00E-01
74.7	2	1	1	14	4	3	3	3	1	1	0.71	5.00E-01
79.49	2	1	1	15	3	4	4	2	0	1	0.81	2.50E+00
86.27	2	1	1	16	1	2	2	2	1	1	2.14	5.00E-01
91.05	2	1	1	17	2	2	2	1	0	1	2.05	5.00E-01
95.84	2	1	1	18	3	4	4	4	1	1	2.34	1.50E+00
101.62	2	1	1	19	2	2	2	3	0	1	2.51	5.00E-01
106.4	2	1	1	20	2	2	2	2	1	1	2.7	1.50E+00
112.19	2	1	1	21	4	4	4	4	1	1	2.24	4.50E+00
120.97	2	1	1	22	4	4	4	4	1	1	1.08	1.50E+00
126.76	2	1	1	23	3	3	3	3	1	1	1.25	3.50E+00
134.54	2	1	1	24	1	1	1	2	0	1	0.54	2.50E+00
141.32	2	1	1	25	1	1	1	2	0	1	1.28	8
153.59	2	1	1	26	3	3	3	4	0	1	2.78	5.50E+00
163.37	2	1	1	27	2	2	2	3	0	1	2.19	5.00E-01
168.16	2	1	1	28	4	4	4	4	1	1	2.39	8
180.43	2	1	1	29	2	1	1	2	0	1	2.49	5.00E-01
185.21	2	1	1	30	3	3	3	3	1	1	2.49	4.50E+00
193.99	2	1	1	31	2	2	2	2	1	1	2.36	5.50E+00
203.76	2	1	1	32	4	4	4	4	1	1	1.04	5.00E-01
208.54	2	1	1	33	3	4	4	3	0	1	1.21	1.50E+00
214.33	2	1	1	34	4	4	4	4	1	1	2.17	1.50E+00
220.11	2	1	1	35	2	1	1	2	0	1	1.62	5.00E-01
224.9	2	1	1	36	1	1	1	2	0	1	1.81	3.50E+00
232.66	2	1	1	37	3	3	3	3	1	1	2.4	2.50E+00
239.45	2	1	1	38	4	4	4	4	1	1	2.16	1.50E+00
245.23	2	1	1	39	4	4	4	4	1	1	1.74	5.00E-01
250.01	2	1	1	40	2	2	2	1	0	1	2.04	2.50E+00
256.8	2	1	1	41	4	4	4	4	1	1	1.33	3.50E+00
