onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.52	2	1	1	1	4	4	4	3	0	1	2.52	5.00E-01
5.3	2	1	1	2	3	3	3	3	1	1	2.42	2.50E+00
12.08	2	1	1	3	2	2	2	2	1	1	2.37	5.00E-01
16.87	2	1	1	4	1	2	2	2	1	1	2.33	1.50E+00
22.65	2	1	1	5	4	4	4	4	1	1	2.45	3.50E+00
30.44	2	1	1	6	1	1	1	1	1	1	2.36	1.50E+00
36.22	2	1	1	7	2	1	1	1	1	1	2.31	5.00E-01
41	2	1	1	8	3	4	4	4	1	1	2.52	4.50E+00
49.79	2	1	1	9	4	3	3	3	1	1	2.56	5.50E+00
59.55	2	1	1	10	4	4	4	3	0	1	2.26	5.00E-01
64.34	2	1	1	11	1	1	1	1	1	1	2.34	3.50E+00
72.12	2	1	1	12	2	1	1	1	1	1	2.39	5.50E+00
81.89	2	1	1	13	1	1	1	1	1	1	2.34	5.00E-01
86.66	2	1	1	14	2	2	2	2	1	1	2.27	5.00E-01
91.44	2	1	1	15	2	2	2	2	1	1	2.16	1.50E+00
97.22	2	1	1	16	3	4	4	4	1	1	2.89	5.50E+00
107.01	2	1	1	17	4	3	3	3	1	1	2.42	3.50E+00
114.79	2	1	1	18	4	3	3	3	1	1	2.3	5.00E-01
119.57	2	1	1	19	3	3	3	3	1	1	2.33	5.00E-01
124.36	2	1	1	20	3	3	3	3	1	1	2.41	2.50E+00
131.14	2	1	1	21	4	4	4	4	1	1	2.47	5.00E-01
135.93	2	1	1	22	4	4	4	4	1	1	2.31	5.00E-01
140.71	2	1	1	23	2	2	2	2	1	1	1.27	1.50E+00
146.49	2	1	1	24	1	1	1	1	1	1	2.25	5.00E-01
151.28	2	1	1	25	4	4	4	3	0	1	0.97	2.50E+00
158.06	2	1	1	26	1	2	2	3	0	1	1.24	2.50E+00
164.84	2	1	1	27	1	2	2	1	0	1	0.79	1.50E+00
170.63	2	1	1	28	3	3	3	3	1	1	2.71	4.50E+00
179.4	2	1	1	29	2	2	2	2	1	1	0.59	2.50E+00
186.18	2	1	1	30	4	3	3	3	1	1	0.89	5.00E-01
190.96	2	1	1	31	1	1	1	1	1	1	2.17	5.00E-01
195.75	2	1	1	32	3	4	4	1	0	1	0.68	5.00E-01
200.53	2	1	1	33	4	4	4	2	0	1	1.29	5.00E-01
205.31	2	1	1	34	3	3	3	1	0	1	0.87	1.50E+00
211.1	2	1	1	35	2	2	2	2	1	1	0.49	5.00E-01
215.88	2	1	1	36	2	2	2	2	1	1	0.53	5.50E+00
225.67	2	1	1	37	4	3	3	3	1	1	2.41	5.00E-01
230.45	2	1	1	38	3	3	3	3	1	1	2.23	5.50E+00
240.23	2	1	1	39	3	4	4	3	0	1	2.29	1.50E+00
246.02	2	1	1	40	2	2	2	2	1	1	0.66	5.00E-01
250.8	2	1	1	41	3	4	4	3	0	1	1.36	5.00E-01
255.58	2	1	1	42	1	1	1	1	1	1	2.29	5.00E-01
260.37	2	1	1	43	4	4	4	4	1	1	1.57	1.50E+00
266.15	2	1	1	44	4	3	3	4	0	1	0.69	5.00E-01
270.93	2	1	1	45	1	2	2	2	1	1	2.31	5.00E-01
275.72	2	1	1	46	2	1	1	2	0	1	0.68	1.50E+00
281.5	2	1	1	47	4	3	3	4	0	1	0.98	1.50E+00
287.29	2	1	1	48	3	4	4	4	1	1	2.42	1.50E+00
293.07	2	1	1	49	2	2	2	2	1	1	0.62	5.00E-01
297.85	2	1	1	50	3	3	3	3	1	1	2.33	5.00E-01
302.64	2	1	1	51	1	1	1	1	1	1	2.14	2.50E+00
309.42	2	1	1	52	4	3	3	3	1	1	2.39	5.00E-01
314.19	2	1	1	53	1	1	1	1	1	1	0.61	5.00E-01
318.97	2	1	1	54	2	1	1	2	0	1	0.39	2.50E+00
325.76	2	1	1	55	2	1	1	2	0	1	0.42	4.50E+00
334.54	2	1	1	56	2	1	1	2	0	1	0.51	3.50E+00
342.32	2	1	1	57	2	2	2	1	0	1	0.35	5.00E-01
347.11	2	1	1	58	1	1	1	1	1	1	0.51	5.00E-01
351.89	2	1	1	59	2	2	2	1	0	1	0.46	5.00E-01
356.67	2	1	1	60	2	2	2	2	1	1	0.43	1.50E+00
362.46	2	1	1	61	1	1	1	1	1	1	0.6	3.50E+00
370.24	2	1	1	62	4	4	4	4	1	1	1.14	5.00E-01
375.03	2	1	1	63	3	4	4	1	0	1	0.7	1.50E+00
380.81	2	1	1	64	1	2	2	1	0	1	0.56	1.50E+00
386.59	2	1	1	65	2	1	1	2	0	1	0.57	2.50E+00
393.38	2	1	1	66	1	1	1	1	1	1	0.66	5.00E-01
398.16	2	1	1	67	3	4	4	1	0	1	0.6	3.50E+00
405.94	2	1	1	68	3	4	4	4	1	1	2.41	5.00E-01
410.73	2	1	1	69	3	4	4	4	1	1	1.15	1.50E+00
416.51	2	1	1	70	3	3	3	4	0	1	0.54	3.50E+00
424.3	2	1	1	71	4	3	3	3	1	1	0.83	5.00E-01
429.08	2	1	1	72	2	2	2	2	1	1	0.6	5.00E-01
433.86	2	1	1	73	1	1	1	1	1	1	0.55	5.50E+00
443.65	2	1	1	74	4	4	4	3	0	1	0.83	3.50E+00
451.43	2	1	1	75	1	1	1	1	1	1	1.05	5.00E-01
456.21	2	1	1	76	3	3	3	4	0	1	0.94	1.50E+00
462	2	1	1	77	3	4	4	4	1	1	0.79	5.50E+00
471.78	2	1	1	78	2	2	2	2	1	1	0.6	5.00E-01
476.57	2	1	1	79	3	4	4	1	0	1	1.07	3.50E+00
484.33	2	1	1	80	1	2	2	1	0	1	0.49	5.00E-01
489.12	2	1	1	81	1	2	2	1	0	1	0.71	8
501.38	2	1	1	82	3	3	3	1	0	1	0.96	5.00E-01
506.17	2	1	1	83	2	2	2	2	1	1	0.7	5.00E-01
510.95	2	1	1	84	4	4	4	3	0	1	0.91	1.50E+00
516.73	2	1	1	85	1	1	1	1	1	1	0.79	1.50E+00
522.52	2	1	1	86	4	3	3	3	1	1	2.16	5.00E-01
527.3	2	1	1	87	3	3	3	1	0	1	0.71	4.50E+00
536.09	2	1	1	88	1	1	1	2	0	1	1.12	8
548.35	2	1	1	89	1	1	1	1	1	1	0.64	5.00E-01
553.14	2	1	1	90	1	1	1	1	1	1	0.49	1.50E+00
558.92	2	1	1	91	4	3	3	3	1	1	0.89	2.50E+00
565.7	2	1	1	92	4	4	4	3	0	1	0.41	1.50E+00
571.49	2	1	1	93	4	3	3	1	0	1	0.99	2.50E+00
578.27	2	1	1	94	3	3	3	1	0	1	0.66	1.50E+00
584.06	2	1	1	95	2	2	2	2	1	1	0.54	4.50E+00
592.84	2	1	1	96	2	1	1	2	0	1	0.56	1.50E+00
598.62	2	1	1	97	1	1	1	1	1	1	0.92	5.00E-01
603.41	2	1	1	98	4	3	3	3	1	1	0.91	5.00E-01
608.19	2	1	1	99	3	3	3	4	0	1	0.71	5.00E-01
612.97	2	1	1	100	2	2	2	2	1	1	0.66	5.00E-01
