onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.51	2	2	1	1	2	1	1	1	1	1	2.46	5.00E-01
5.29	2	2	1	2	1	1	1	1	1	1	2.34	2.50E+00
12.08	2	2	1	3	3	3	3	3	1	1	2.8	1.50E+00
17.86	2	2	1	4	2	2	2	2	1	1	2.55	5.00E-01
22.65	2	2	1	5	1	2	2	2	1	1	2.47	5.00E-01
27.43	2	2	1	6	2	1	1	1	1	1	2.47	2.50E+00
34.21	2	2	1	7	1	2	2	2	1	1	2.41	5.00E-01
39	2	2	1	8	2	1	1	1	1	1	2.71	5.50E+00
48.78	2	2	1	9	2	2	2	2	1	1	2.41	5.00E-01
53.56	2	2	1	10	2	1	1	1	1	1	2.4	5.00E-01
58.35	2	2	1	11	1	2	2	2	1	1	2.44	5.00E-01
63.13	2	2	1	12	4	4	4	3	0	1	2.62	3.50E+00
70.92	2	2	1	13	2	2	2	2	1	1	2.51	4.50E+00
79.7	2	2	1	14	4	3	3	3	1	1	2.67	5.00E-01
84.48	2	2	1	15	1	2	2	2	1	1	2.45	5.00E-01
89.27	2	2	1	16	2	1	1	1	1	1	2.5	5.00E-01
94.05	2	2	1	17	1	1	1	1	1	1	2.37	5.00E-01
98.83	2	2	1	18	4	4	4	4	1	1	2.66	1.50E+00
104.62	2	2	1	19	3	3	3	3	1	1	2.56	5.00E-01
109.4	2	2	1	20	4	4	4	4	1	1	2.56	5.00E-01
114.19	2	2	1	21	2	2	2	2	1	1	2.44	5.00E-01
118.97	2	2	1	22	1	1	1	1	1	1	2.59	3.50E+00
126.75	2	2	1	23	4	4	4	4	1	1	2.5	5.00E-01
131.54	2	2	1	24	3	3	3	3	1	1	2.87	4.50E+00
140.32	2	2	1	25	1	2	2	2	1	1	2.56	5.00E-01
145.1	2	2	1	26	2	2	2	2	1	1	2.5	5.50E+00
154.89	2	2	1	27	2	2	2	2	1	1	3.49	1.50E+00
160.67	2	2	1	28	4	3	3	3	1	1	2.55	1.50E+00
166.46	2	2	1	29	3	3	3	3	1	1	2.42	3.50E+00
174.24	2	2	1	30	3	3	3	3	1	1	2.56	5.00E-01
179.02	2	2	1	31	2	1	1	1	1	1	2.55	5.00E-01
183.81	2	2	1	32	3	3	3	3	1	1	3.22	5.00E-01
188.59	2	2	1	33	1	1	1	1	1	1	2.45	5.00E-01
193.37	2	2	1	34	2	1	1	1	1	1	2.47	4.50E+00
202.16	2	2	1	35	2	2	2	2	1	1	2.55	5.50E+00
211.94	2	2	1	36	3	3	3	3	1	1	2.39	5.00E-01
216.73	2	2	1	37	4	4	4	4	1	1	2.67	2.50E+00
223.51	2	2	1	38	1	1	1	1	1	1	2.79	1.50E+00
229.29	2	2	1	39	2	2	2	2	1	1	2.43	3.50E+00
237.08	2	2	1	40	3	3	3	3	1	1	2.69	5.00E-01
241.86	2	2	1	41	4	3	3	3	1	1	2.48	3.50E+00
249.64	2	2	1	42	3	4	4	4	1	1	2.91	5.00E-01
254.43	2	2	1	43	1	2	2	1	0	1	2.56	2.50E+00
261.21	2	2	1	44	1	1	1	1	1	1	2.49	5.00E-01
266	2	2	1	45	2	1	1	1	1	1	2.73	5.50E+00
275.78	2	2	1	46	4	4	4	4	1	1	2.84	5.00E-01
280.56	2	2	1	47	4	4	4	4	1	1	2.62	1.50E+00
286.35	2	2	1	48	1	2	2	2	1	1	2.48	5.00E-01
291.13	2	2	1	49	1	1	1	1	1	1	2.82	5.50E+00
300.91	2	2	1	50	3	3	3	3	1	1	2.7	8
313.2	2	2	1	51	4	3	3	3	1	1	2.45	1.50E+00
318.98	2	2	1	52	1	2	2	2	1	1	2.5	1.50E+00
324.77	2	2	1	53	3	3	3	3	1	1	2.96	2.50E+00
331.55	2	2	1	54	3	4	4	4	1	1	2.76	5.00E-01
336.33	2	2	1	55	1	1	1	1	1	1	2.66	5.00E-01
341.12	2	2	1	56	2	1	1	1	1	1	2.42	8
353.4	2	2	1	57	1	2	2	2	1	1	2.6	3.50E+00
361.19	2	2	1	58	4	4	4	4	1	1	2.71	1.50E+00
366.97	2	2	1	59	4	4	4	4	1	1	2.5	1.50E+00
372.75	2	2	1	60	1	2	2	2	1	1	2.51	5.00E-01
377.54	2	2	1	61	4	4	4	4	1	1	2.56	5.00E-01
