onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.52	2	1	1	1	2	2	2	2	1	1	2.93	5.00E-01
5.28	2	1	1	2	2	2	2	2	1	1	2.41	5.00E-01
10.05	2	1	1	3	4	3	3	3	1	1	2.99	4.50E+00
18.82	2	1	1	4	3	4	4	4	1	1	2.41	5.00E-01
23.58	2	1	1	5	1	1	1	1	1	1	1.11	3.50E+00
31.35	2	1	1	6	2	2	2	2	1	1	0.74	3.50E+00
39.12	2	1	1	7	2	1	1	2	0	1	0.86	1.50E+00
44.88	2	1	1	8	4	3	3	3	1	1	2.58	1.50E+00
50.65	2	1	1	9	4	3	3	3	1	1	2.37	5.00E-01
55.42	2	1	1	10	4	3	3	3	1	1	0.85	5.00E-01
60.19	2	1	1	11	4	4	4	4	1	1	2.5	3.50E+00
67.95	2	1	1	12	4	3	3	4	0	1	0.88	3.50E+00
75.72	2	1	1	13	2	2	2	2	1	1	1.27	5.00E-01
80.49	2	1	1	14	3	3	3	3	1	1	2.69	8
92.76	2	1	1	15	1	1	1	1	1	1	2.59	1.50E+00
98.52	2	1	1	16	4	4	4	4	1	1	2.55	3.50E+00
106.29	2	1	1	17	3	3	3	3	1	1	2.52	2.50E+00
113.06	2	1	1	18	4	4	4	4	1	1	2.46	5.00E-01
117.82	2	1	1	19	3	4	4	4	1	1	3.21	5.00E-01
122.59	2	1	1	20	3	3	3	3	1	1	2.33	5.00E-01
127.36	2	1	1	21	2	2	2	2	1	1	1.09	1.50E+00
133.12	2	1	1	22	4	4	4	4	1	1	1.35	5.00E-01
137.89	2	1	1	23	1	2	2	2	1	1	2.72	2.50E+00
144.66	2	1	1	24	3	4	4	4	1	1	2.85	1.50E+00
150.42	2	1	1	25	3	3	3	3	1	1	2.4	1.50E+00
156.19	2	1	1	26	1	2	2	2	1	1	2.58	5.00E-01
160.96	2	1	1	27	2	1	1	2	0	1	0.87	5.00E-01
165.73	2	1	1	28	4	3	3	4	0	1	1.26	5.00E-01
170.49	2	1	1	29	3	3	3	3	1	1	2.18	4.50E+00
179.26	2	1	1	30	2	2	2	2	1	1	2.63	1.50E+00
185.03	2	1	1	31	2	1	1	2	0	1	0.94	5.50E+00
194.79	2	1	1	32	4	4	4	4	1	1	1.01	2.50E+00
201.56	2	1	1	33	2	2	2	2	1	1	2.45	1.50E+00
207.33	2	1	1	34	1	1	1	1	1	1	2.54	2.50E+00
214.1	2	1	1	35	1	1	1	1	1	1	0.96	5.50E+00
223.86	2	1	1	36	1	1	1	1	1	1	0.66	1.50E+00
229.63	2	1	1	37	1	2	2	1	0	1	0.79	1.50E+00
235.4	2	1	1	38	2	2	2	2	1	1	1.39	5.50E+00
245.17	2	1	1	39	2	1	1	2	0	1	1.24	5.00E-01
249.93	2	1	1	40	3	4	4	4	1	1	2.46	1.50E+00
255.7	2	1	1	41	4	3	3	4	0	1	1.04	2.50E+00
262.47	2	1	1	42	4	4	4	4	1	1	1.16	5.00E-01
267.23	2	1	1	43	2	1	1	1	1	1	1.86	4.50E+00
276	2	1	1	44	1	1	1	1	1	1	2.31	5.00E-01
280.77	2	1	1	45	4	4	4	4	1	1	1.48	5.00E-01
285.53	2	1	1	46	3	3	3	3	1	1	2.22	5.00E-01
290.3	2	1	1	47	4	3	3	n/a	n/a	1	n/a	1.50E+00
296.07	2	1	1	48	4	4	4	4	1	1	0.83	5.00E-01
300.84	2	1	1	49	1	2	2	1	0	1	1.63	5.00E-01
305.6	2	1	1	50	4	4	4	4	1	1	0.86	5.00E-01
310.37	2	1	1	51	3	4	4	4	1	1	2.48	1.50E+00
316.14	2	1	1	52	1	1	1	1	1	1	2.62	5.00E-01
320.9	2	1	1	53	3	4	4	4	1	1	2.44	5.00E-01
325.67	2	1	1	54	2	1	1	2	0	1	1.22	1.50E+00
331.44	2	1	1	55	2	2	2	1	0	1	0.88	5.00E-01
336.21	2	1	1	56	1	1	1	1	1	1	2.47	5.00E-01
340.97	2	1	1	57	3	4	4	4	1	1	2.41	5.00E-01
345.74	2	1	1	58	1	1	1	1	1	1	2.23	5.00E-01
350.51	2	1	1	59	2	1	1	1	1	1	2.43	5.00E-01
355.27	2	1	1	60	2	2	2	2	1	1	2.66	5.00E-01
360.04	2	1	1	61	1	2	2	2	1	1	2.31	5.00E-01
364.81	2	1	1	62	1	2	2	2	1	1	2.32	3.50E+00
372.57	2	1	1	63	1	1	1	2	0	1	0.59	1.50E+00
378.34	2	1	1	64	3	4	4	3	0	1	1.44	5.50E+00
388.11	2	1	1	65	1	1	1	1	1	1	2.62	5.00E-01
392.88	2	1	1	66	3	3	3	4	0	1	1.35	1.50E+00
398.64	2	1	1	67	1	2	2	2	1	1	2.3	5.00E-01
403.41	2	1	1	68	4	4	4	4	1	1	0.81	1.50E+00
409.18	2	1	1	69	4	3	3	4	0	1	0.94	5.00E-01
413.94	2	1	1	70	3	4	4	4	1	1	2.15	5.00E-01
418.71	2	1	1	71	3	3	3	4	0	1	1.84	1.50E+00
424.48	2	1	1	72	1	1	1	1	1	1	2.82	5.00E-01
429.24	2	1	1	73	1	1	1	1	1	1	2.4	3.50E+00
437.01	2	1	1	74	3	3	3	3	1	1	2.39	5.50E+00
446.78	2	1	1	75	2	2	2	1	0	1	1.83	5.00E-01
451.55	2	1	1	76	1	1	1	1	1	1	2.35	5.50E+00
461.31	2	1	1	77	1	1	1	1	1	1	2.41	5.00E-01
466.08	2	1	1	78	2	2	2	2	1	1	2.4	2.50E+00
472.85	2	1	1	79	4	3	3	n/a	n/a	1	n/a	5.00E-01
477.61	2	1	1	80	4	4	4	4	1	1	2.44	1.50E+00
483.38	2	1	1	81	2	2	2	1	0	1	1.47	5.00E-01
488.15	2	1	1	82	2	1	1	1	1	1	2.21	1.50E+00
493.92	2	1	1	83	3	4	4	4	1	1	2.46	1.50E+00
499.68	2	1	1	84	1	2	2	2	1	1	2.49	2.50E+00
506.45	2	1	1	85	4	3	3	4	0	1	0.74	4.50E+00
515.22	2	1	1	86	1	2	2	2	1	1	2.37	5.00E-01
519.98	2	1	1	87	2	1	1	1	1	1	2.36	8
532.25	2	1	1	88	4	4	4	4	1	1	0.97	1.50E+00
538.02	2	1	1	89	4	3	3	3	1	1	2.19	2.50E+00
544.79	2	1	1	90	2	1	1	1	1	1	2.38	2.50E+00
551.55	2	1	1	91	2	2	2	2	1	1	0.66	4.50E+00
560.32	2	1	1	92	3	4	4	4	1	1	2.45	3.50E+00
568.09	2	1	1	93	2	2	2	2	1	1	1.31	5.50E+00
577.85	2	1	1	94	3	3	3	4	0	1	1.96	5.00E-01
582.62	2	1	1	95	3	4	4	4	1	1	2.17	5.00E-01
587.39	2	1	1	96	1	2	2	2	1	1	2.32	5.00E-01
592.16	2	1	1	97	3	3	3	3	1	1	1.02	3.50E+00
599.92	2	1	1	98	3	3	3	4	0	1	1.86	5.00E-01
604.69	2	1	1	99	4	3	3	4	0	1	0.9	5.00E-01
609.46	2	1	1	100	3	3	3	3	1	1	2.24	2.50E+00
