onset	duration	type	repeat
129094.0647	0.5	3	0
129095.8648	0.5	3	0
129097.6649	0.5	3	0
129099.4651	0.5	3	1
129101.2652	0.5	3	0
129103.0653	0.5	3	1
129104.8654	0.5	3	0
129106.6656	0.5	3	0
129108.4657	0.5	3	0
129110.2658	0.5	3	0
129124.0667	0.5	1	0
129125.8668	0.5	1	0
129127.667	0.5	1	0
129129.467	0.5	1	0
129131.2672	0.5	1	0
129133.0673	0.5	1	0
129134.8674	0.5	1	1
129136.6675	0.5	1	0
129138.4677	0.5	1	0
129140.2678	0.5	1	1
129154.0687	0.5	1	0
129155.8689	0.5	1	0
129157.669	0.5	1	0
129159.4691	0.5	1	0
129161.2692	0.5	1	1
129163.0693	0.5	1	0
129164.8695	0.5	1	0
129166.6696	0.5	1	0
129168.4697	0.5	1	0
129170.2699	0.5	1	1
129184.0708	0.5	2	0
129185.8709	0.5	2	0
129187.671	0.5	2	0
129189.4711	0.5	2	0
129191.2713	0.5	2	0
129193.0713	0.5	2	1
129194.8715	0.5	2	0
129196.6716	0.5	2	1
129198.4718	0.5	2	0
129200.2719	0.5	2	0
129214.0729	0.5	2	0
129215.8729	0.5	2	0
129217.673	0.5	2	0
129219.4732	0.5	2	1
129221.2733	0.5	2	0
129223.0734	0.5	2	0
129224.8735	0.5	2	0
129226.6737	0.5	2	0
129228.4738	0.5	2	1
129230.2739	0.5	2	0
129244.0749	0.5	4	0
129245.875	0.5	4	1
129247.6751	0.5	4	0
129249.4751	0.5	4	0
129251.2753	0.5	4	0
129253.0755	0.5	4	1
129254.8756	0.5	4	0
129256.6757	0.5	4	0
129258.4758	0.5	4	0
129260.2759	0.5	4	0
129274.0769	0.5	3	0
129275.877	0.5	3	0
129277.6771	0.5	3	0
129279.4772	0.5	3	1
129281.2773	0.5	3	0
129283.0775	0.5	3	0
129284.8776	0.5	3	0
129286.6777	0.5	3	0
129288.4778	0.5	3	0
129290.2779	0.5	3	1
129304.0789	0.5	4	0
129305.879	0.5	4	0
129307.6791	0.5	4	0
129309.4792	0.5	4	1
129311.2794	0.5	4	0
129313.0795	0.5	4	0
129314.8796	0.5	4	1
129316.6797	0.5	4	0
129318.4799	0.5	4	0
129320.28	0.5	4	0
129334.081	0.5	1	0
129335.881	0.5	1	1
129337.6812	0.5	1	0
129339.4813	0.5	1	0
129341.2814	0.5	1	0
129343.0815	0.5	1	0
129344.8816	0.5	1	0
129346.6818	0.5	1	1
129348.4819	0.5	1	0
129350.282	0.5	1	0
129364.083	0.5	2	0
129365.8831	0.5	2	0
129367.6832	0.5	2	1
129369.4833	0.5	2	0
129371.2833	0.5	2	0
129373.0836	0.5	2	0
129374.8837	0.5	2	0
129376.6838	0.5	2	1
129378.4839	0.5	2	0
129380.284	0.5	2	0
129394.0849	0.5	3	0
129395.8851	0.5	3	1
129397.6851	0.5	3	0
129399.4853	0.5	3	0
129401.2854	0.5	3	0
129403.0855	0.5	3	0
129404.8857	0.5	3	0
129406.6858	0.5	3	1
129408.4859	0.5	3	0
129410.286	0.5	3	0
129424.0869	0.5	4	0
129425.8871	0.5	4	0
129427.6872	0.5	4	0
129429.4873	0.5	4	0
129431.2875	0.5	4	0
129433.0876	0.5	4	0
129434.8877	0.5	4	1
129436.6878	0.5	4	0
129438.4879	0.5	4	1
129440.2881	0.5	4	0
