onset	duration	type	repeat
21187.6003	0.5	1	0
21189.3871	0.5	1	0
21191.172	0.5	1	0
21192.9718	0.5	1	0
21194.7591	0.5	1	0
21196.5451	0.5	1	1
21198.3313	0.5	1	0
21200.1178	0.5	1	0
21201.9014	0.5	1	1
21203.6852	0.5	1	0
21217.4824	0.5	2	0
21219.2727	0.5	2	0
21221.0587	0.5	2	1
21222.8442	0.5	2	0
21224.6292	0.5	2	0
21226.4176	0.5	2	0
21228.2038	0.5	2	0
21229.9898	0.5	2	1
21231.776	0.5	2	0
21233.5755	0.5	2	0
21247.3579	0.5	4	0
21249.1449	0.5	4	0
21250.9314	0.5	4	0
21252.7164	0.5	4	0
21254.5033	0.5	4	1
21256.2887	0.5	4	0
21258.0759	0.5	4	0
21259.8621	0.5	4	0
21261.6486	0.5	4	0
21263.4476	0.5	4	1
21277.2301	0.5	1	0
21279.0155	0.5	1	0
21280.8036	0.5	1	0
21282.5885	0.5	1	1
21284.3748	0.5	1	0
21286.1613	0.5	1	0
21287.9474	0.5	1	0
21289.7467	0.5	1	1
21291.534	0.5	1	0
21293.3199	0.5	1	0
21307.1024	0.5	3	0
21308.8894	0.5	3	0
21310.6742	0.5	3	0
21312.4617	0.5	3	0
21314.2478	0.5	3	0
21316.034	0.5	3	0
21317.8193	0.5	3	1
21319.6053	0.5	3	0
21321.3888	0.5	3	1
21323.1788	0.5	3	0
21336.9622	0.5	4	0
21338.7479	0.5	4	1
21340.5332	0.5	4	0
21342.3205	0.5	4	0
21344.1068	0.5	4	0
21345.8925	0.5	4	0
21347.679	0.5	4	0
21349.463	0.5	4	0
21351.2512	0.5	4	1
21353.0377	0.5	4	0
21366.82	0.5	2	0
21368.6095	0.5	2	0
21370.3928	0.5	2	0
21372.1792	0.5	2	0
21373.9655	0.5	2	0
21375.7517	0.5	2	1
21377.538	0.5	2	0
21379.322	0.5	2	0
21381.1101	0.5	2	1
21382.8957	0.5	2	0
21396.679	0.5	4	0
21398.4658	0.5	4	0
21400.2506	0.5	4	0
21402.0381	0.5	4	0
21403.8236	0.5	4	1
21405.61	0.5	4	0
21407.397	0.5	4	0
21409.1817	0.5	4	0
21410.9694	0.5	4	1
21412.7556	0.5	4	0
21426.5385	0.5	1	0
21428.3243	0.5	1	1
21430.1091	0.5	1	0
21431.897	0.5	1	0
21433.6832	0.5	1	0
21435.4697	0.5	1	0
21437.2554	0.5	1	0
21439.0413	0.5	1	0
21440.828	0.5	1	0
21442.614	0.5	1	1
21456.3967	0.5	3	0
21458.1833	0.5	3	0
21459.9685	0.5	3	0
21461.7562	0.5	3	0
21463.5422	0.5	3	0
21465.3281	0.5	3	1
21467.1144	0.5	3	0
21468.8984	0.5	3	0
21470.6869	0.5	3	0
21472.4729	0.5	3	1
21486.2556	0.5	3	0
21488.0426	0.5	3	0
21489.8263	0.5	3	0
21491.614	0.5	3	0
21493.3998	0.5	3	1
21495.1866	0.5	3	0
21496.9729	0.5	3	1
21498.7573	0.5	3	0
21500.5448	0.5	3	0
21502.3313	0.5	3	0
21516.1142	0.5	2	0
21517.901	0.5	2	0
21519.6849	0.5	2	1
21521.4736	0.5	2	0
21523.259	0.5	2	1
21525.046	0.5	2	0
21526.8315	0.5	2	0
21528.6163	0.5	2	0
21530.4048	0.5	2	0
21532.1909	0.5	2	0
