onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.5	2	1	1	1	1	1	1	1	1	1	2.74	5.00E-01
5.28	2	1	1	2	1	1	1	1	1	1	2.12	1.50E+00
11.05	2	1	1	3	4	4	4	4	1	1	2.75	5.00E-01
15.81	2	1	1	4	2	2	2	2	1	1	2.34	1.50E+00
21.58	2	1	1	5	3	4	4	3	0	1	2.17	1.50E+00
27.34	2	1	1	6	4	4	4	4	1	1	2.24	5.00E-01
32.12	2	1	1	7	1	1	1	1	1	1	2.15	2.50E+00
38.89	2	1	1	8	4	4	4	4	1	1	2.46	5.00E-01
43.67	2	1	1	9	1	1	1	1	1	1	1.1	1.50E+00
49.44	2	1	1	10	4	3	3	4	0	1	1.15	2.50E+00
56.2	2	1	1	11	3	4	4	4	1	1	2.43	1.50E+00
61.97	2	1	1	12	1	1	1	1	1	1	0.64	1.50E+00
67.73	2	1	1	13	3	3	3	3	1	1	2.18	1.50E+00
73.51	2	1	1	14	2	2	2	2	1	1	1.17	1.50E+00
79.28	2	1	1	15	2	1	1	2	0	1	1.13	5.00E-01
84.06	2	1	1	16	1	2	2	1	0	1	0.97	1.50E+00
89.83	2	1	1	17	4	4	4	4	1	1	2.27	2.50E+00
96.59	2	1	1	18	4	3	3	3	1	1	2.25	5.00E-01
101.36	2	1	1	19	2	2	2	2	1	1	2.06	3.50E+00
109.12	2	1	1	20	4	4	4	4	1	1	2.17	5.50E+00
118.9	2	1	1	21	1	1	1	1	1	1	1.12	5.00E-01
123.67	2	1	1	22	4	3	3	4	0	1	1.67	5.00E-01
128.45	2	1	1	23	2	2	2	2	1	1	1.36	5.00E-01
133.23	2	1	1	24	4	4	4	4	1	1	2.57	2.50E+00
140	2	1	1	25	3	3	3	3	1	1	2.56	5.00E-01
144.78	2	1	1	26	2	2	2	2	1	1	1.32	3.50E+00
152.56	2	1	1	27	2	1	1	1	1	1	2.23	5.00E-01
157.32	2	1	1	28	1	1	1	1	1	1	2.23	5.00E-01
162.11	2	1	1	29	3	3	3	3	1	1	2.53	5.00E-01
166.87	2	1	1	30	4	4	4	4	1	1	2.19	1.50E+00
172.64	2	1	1	31	4	4	4	4	1	1	2.26	1.50E+00
178.4	2	1	1	32	4	4	4	4	1	1	0.87	5.50E+00
188.17	2	1	1	33	4	3	3	4	0	1	1.07	4.50E+00
196.95	2	1	1	34	3	4	4	4	1	1	2.35	5.00E-01
201.71	2	1	1	35	3	4	4	3	0	1	2.09	5.00E-01
206.5	2	1	1	36	3	4	4	4	1	1	2.35	5.00E-01
211.26	2	1	1	37	2	2	2	2	1	1	2.26	5.00E-01
216.03	2	1	1	38	3	3	3	3	1	1	2.16	4.50E+00
224.81	2	1	1	39	1	1	1	1	1	1	1.04	1.50E+00
230.57	2	1	1	40	3	3	3	3	1	1	2.16	4.50E+00
239.35	2	1	1	41	1	1	1	1	1	1	0.99	5.50E+00
249.13	2	1	1	42	3	3	3	3	1	1	2.18	5.00E-01
253.9	2	1	1	43	1	1	1	1	1	1	0.98	5.00E-01
258.68	2	1	1	44	1	2	2	1	0	1	0.9	5.00E-01
263.45	2	1	1	45	3	4	4	3	0	1	1.74	5.00E-01
268.21	2	1	1	46	2	2	2	2	1	1	1.15	3.50E+00
275.99	2	1	1	47	2	2	2	2	1	1	2.28	5.00E-01
280.76	2	1	1	48	1	2	2	2	1	1	2.21	5.00E-01
285.54	2	1	1	49	2	2	2	2	1	1	2.17	5.00E-01
290.31	2	1	1	50	1	1	1	1	1	1	2.24	5.00E-01
295.07	2	1	1	51	1	1	1	1	1	1	2.22	4.50E+00
303.85	2	1	1	52	2	1	1	2	0	1	0.72	5.50E+00
313.62	2	1	1	53	2	1	1	2	0	1	2.07	5.00E-01
318.4	2	1	1	54	3	3	3	3	1	1	2.93	1.50E+00
324.18	2	1	1	55	3	3	3	3	1	1	2.63	2.50E+00
330.95	2	1	1	56	1	2	2	2	1	1	3.07	5.00E-01
335.73	2	1	1	57	2	2	2	2	1	1	2.45	2.50E+00
342.51	2	1	1	58	4	4	4	n/a	n/a	1	n/a	5.00E-01
347.28	2	1	1	59	2	2	2	2	1	1	2.39	5.00E-01
352.06	2	1	1	60	3	4	4	4	1	1	2.34	1.50E+00
357.82	2	1	1	61	2	1	1	1	1	1	2.32	2.50E+00
364.59	2	1	1	62	3	3	3	3	1	1	2.57	3.50E+00
372.37	2	1	1	63	4	4	4	4	1	1	2.36	5.00E-01
377.13	2	1	1	64	2	1	1	1	1	1	2.7	2.50E+00
383.92	2	1	1	65	3	3	3	3	1	1	2.25	5.00E-01
388.68	2	1	1	66	2	2	2	2	1	1	2.28	8
400.96	2	1	1	67	3	4	4	4	1	1	2.15	5.00E-01
405.73	2	1	1	68	4	3	3	3	1	1	2.19	5.00E-01
410.51	2	1	1	69	2	1	1	2	0	1	2.04	3.50E+00
418.29	2	1	1	70	1	1	1	1	1	1	2.27	1.50E+00
424.06	2	1	1	71	3	4	4	4	1	1	2.15	5.50E+00
433.84	2	1	1	72	1	2	2	2	1	1	2.29	5.00E-01
438.62	2	1	1	73	2	2	2	2	1	1	2.26	5.00E-01
443.38	2	1	1	74	4	4	4	4	1	1	2.14	5.00E-01
448.16	2	1	1	75	3	4	4	4	1	1	2.4	2.50E+00
454.93	2	1	1	76	4	4	4	4	1	1	2.42	2.50E+00
461.69	2	1	1	77	3	3	3	3	1	1	2.47	5.00E-01
466.46	2	1	1	78	2	1	1	1	1	1	2.51	5.00E-01
471.23	2	1	1	79	1	2	2	2	1	1	2.4	5.00E-01
475.99	2	1	1	80	4	3	3	3	1	1	2.4	5.00E-01
480.76	2	1	1	81	1	2	2	2	1	1	2.44	4.50E+00
489.54	2	1	1	82	2	2	2	2	1	1	2.44	5.00E-01
494.3	2	1	1	83	3	3	3	3	1	1	2.3	5.50E+00
504.08	2	1	1	84	4	3	3	3	1	1	2.7	3.50E+00
511.85	2	1	1	85	3	3	3	3	1	1	2.44	1.50E+00
517.61	2	1	1	86	3	3	3	3	1	1	3.09	1.50E+00
523.38	2	1	1	87	4	4	4	3	0	1	2.86	1.50E+00
529.14	2	1	1	88	1	1	1	1	1	1	2.29	1.50E+00
534.93	2	1	1	89	2	2	2	2	1	1	2.01	5.50E+00
544.69	2	1	1	90	4	4	4	4	1	1	2.41	3.50E+00
552.47	2	1	1	91	1	1	1	1	1	1	2.14	1.50E+00
