onset	duration	Block	Phase	Trial	Cue	Image	CorrResp	Resp	Accuracy	ISI	RT_from_CueOnset	ITI
0.52	2	1	1	1	4	4	4	4	1	1	2.98	4.50E+00
9.3	2	1	1	2	2	1	1	1	1	1	3.05	5.00E-01
14.08	2	1	1	3	4	4	4	4	1	1	2.19	5.00E-01
18.87	2	1	1	4	3	4	4	3	0	1	2.22	5.00E-01
23.65	2	1	1	5	4	3	3	3	1	1	2.42	5.50E+00
33.43	2	1	1	6	1	2	2	2	1	1	2.35	1.50E+00
39.22	2	1	1	7	4	3	3	3	1	1	2.2	1.50E+00
45	2	1	1	8	2	1	1	1	1	1	2.14	5.00E-01
49.79	2	1	1	9	3	3	3	3	1	1	2.15	2.50E+00
56.57	2	1	1	10	1	2	2	2	1	1	0.97	4.50E+00
65.35	2	1	1	11	3	3	3	3	1	1	1.08	5.00E-01
70.14	2	1	1	12	3	4	4	3	0	1	0.5	1.50E+00
75.92	2	1	1	13	3	3	3	3	1	1	2.13	5.00E-01
80.7	2	1	1	14	2	2	2	1	0	1	0.83	1.50E+00
86.47	2	1	1	15	3	3	3	3	1	1	2.12	1.50E+00
92.26	2	1	1	16	2	1	1	1	1	1	1.03	1.50E+00
98.04	2	1	1	17	3	4	4	3	0	1	0.85	8
110.31	2	1	1	18	3	3	3	3	1	1	2.08	5.50E+00
120.09	2	1	1	19	3	3	3	3	1	1	1.52	2.50E+00
126.87	2	1	1	20	1	2	2	2	1	1	0.71	5.00E-01
131.66	2	1	1	21	1	2	2	2	1	1	0.78	1.50E+00
137.44	2	1	1	22	4	4	4	4	1	1	2.09	5.00E-01
142.23	2	1	1	23	2	2	2	1	0	1	0.75	5.00E-01
147.01	2	1	1	24	1	1	1	2	0	1	1.32	5.00E-01
151.79	2	1	1	25	1	2	2	2	1	1	2.17	5.00E-01
156.58	2	1	1	26	4	4	4	4	1	1	1.47	1.50E+00
162.36	2	1	1	27	3	3	3	3	1	1	1.95	5.00E-01
167.14	2	1	1	28	4	4	4	4	1	1	2.28	4.50E+00
175.93	2	1	1	29	4	4	4	4	1	1	1.55	3.50E+00
183.71	2	1	1	30	4	3	3	4	0	1	1.01	2.50E+00
190.5	2	1	1	31	2	2	2	2	1	1	2.42	5.50E+00
200.28	2	1	1	32	3	4	4	3	0	1	2.2	5.00E-01
205.05	2	1	1	33	3	3	3	3	1	1	2.22	2.50E+00
211.83	2	1	1	34	1	2	2	2	1	1	2.12	5.00E-01
216.6	2	1	1	35	3	3	3	3	1	1	1.85	5.00E-01
221.38	2	1	1	36	3	3	3	3	1	1	2.13	3.50E+00
